drug,generic_name,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,"sure, i can help with that.",potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium
HYDROmorphone (Dilaudid),hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydrocodone,hydrocodone,hydrocodone is not present in the,hydrocodone,hydrocodone,hydrocodone -> hydrocodone,hydrocodone is not present in the,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone
Ciprofloxacin HCl,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin
5% Dextrose,glucose 50 mg/ml,glucose 50 mg/ml,dextrose 50 mg/ml,dextrose 5%,dextrose 5%,5% dextrose,5% dextrose,dextrose 5% in water,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,5% dextrose is a solution,5% dextrose is a solution,5% dextrose,5% dextrose,5% dextrose,5% dextrose,5% dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,glucose 50 mg/ml,glucose 50 mg/ml,dextrose 5%,dextrose 5%,5% dextrose,dextrose,dextrose 5%
TraZODone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone
DiphenhydrAMINE,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine
DiphenhydrAMINE,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine,diphenhydramine
Furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
Ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron
1/2 NS,sodium chloride 4.5 mg/ml,sodium chloride 4.5 mg/ml,sodium chloride 4.5 mg/ml,sodium chloride 4.5 mg/ml,0.45% sodium chloride,0.45% sodium chloride,0.45% sodium chloride,normal saline 0.45%,1/2 normal saline,1/2 normal saline,normal saline,half normal saline,half normal saline,normal saline,normal saline,1/2 ns can be classified as,the generic name for [1/,0.9% sodium chlor,the generic name for [1/2,the generic name for [1/2,the generic name for the raw drug name,1/2 ns is a salt form,sodium chloride,sodium chloride,normal saline,normal saline,normal saline,the generic name for [1/2,normal saline,sodium chloride 4.5 mg,sodium chloride 4.5 mg,sodium chloride 4.5 mg,sodium chloride 0.45%,sodium chloride,half normal saline,sodium chloride
Pneumococcal Vac Polyvalent,pneumococcal vaccine polyvalent,pneumococcal vaccine polyvalent,pneumococcal vaccine polyvalent,pneumococcal vaccine polyvalent,pneumococcal vaccine polyvalent,pneumococcal vaccine polyvalent,pneumococcal vaccine polyvalent,pneumococcal vaccine polyvalent,pneumococcal polysaccharide,pneumococcal polysaccharide,pneumococcal polysaccharide,pneumococcal polysaccharide,pneumococcal polysaccharide,pneumococcal vaccine polyvalent,pneumococcal vaccine polyvalent,pneumococcal vaccinium,pneumococcal vaccine poly,pneumococcal vaccine polyval,the generic name for the raw drug name,pneumococcal vac polyval,pneumococcal vac polyval,pneumococcal vaccine polyval,pneumococcal vaccine,pneumococcal vaccine,pneumococcal vaccine poly,pneumococcal vaccine poly,pneumococcal vaccine poly,pneumococcal vaccine poly,pneumococcal vaccine poly,pneumococcal vaccine polyval,pneumococcal vaccine polyval,pneumococcal vaccine polyval,pneumococcal vaccine polyval,pneumococcal vaccine polyval,pneumococcal vaccine polyval,pneumococcal vaccine polyval
Metoprolol Tartrate,metoprolol tartrate,metoprolol,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol tartrate,metoprolol,metoprolol tartrate,metoprolol,metoprolol,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate becomes,metoprolol tartrate,metoprolol tartrate becomes,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol
Simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin
Lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam
Omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole,omeprazole
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg,sodium chloride,sodium chloride,sodium chloride,0.9% sodium chlor,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
Warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin
Dextrose 5%,glucose 50 mg/ml,dextrose 50 mg/ml,dextrose 50 mg/ml,dextrose 5%,dextrose 5%,dextrose 5%,dextrose 5%,dextrose 5%,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose 50 mg/,dextrose 50 mg/,dextrose,dextrose,dextrose,dextrose 5%,dextrose 5%,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,glucose 50 mg/ml,glucose 50 mg/ml,dextrose 5%,dextrose 5%,dextrose 5%,dextrose,dextrose 5%
0.45% Sodium Chloride,sodium chloride 4.5 mg/ml,sodium chloride 4.5 mg/ml,sodium chloride 4.5 mg/ml,sodium chloride 4.5 mg/ml,0.45% sodium chloride,0.45% sodium chloride,0.45% sodium chloride,sodium chloride 0.45%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 4.5 mg,sodium chloride 4.5 mg,sodium chloride 4.5 mg,sodium chloride,sodium chloride,sodium chloride,sodium chloride
TraMADOL (Ultram),tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol,tramadol
Ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine,ranitidine
Lidocaine 5% Patch,lidocaine 0.05 mg/mg,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine
Albuterol Inhaler,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol
Tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus,tacrolimus
Heparin Flush (10 units/ml),heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride -> potassium chloride (no change,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium,potassium,potassium,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
Famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine
Metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide,metoclopramide
Nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin
Vitamin D,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,cholecalciferol,cholecalciferol,cholecalciferol,the generic name of the drug is:,cholecalciferol,vitamin d,vitamin d,cholecalciferol,vitamin d,"sure, i can help with that","sure, id be happy to",vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,cholecalciferol,cholecalciferol,cholecalciferol,cholecalciferol,cholecalciferol,vitamin d,vitamin d
Insulin Human Regular,insulin,insulin regular,insulin regular,insulin regular,insulin regular,insulin regular,insulin regular,insulin regular human,insulin,insulin,insulin,insulin,insulin,insulin,insulin human,insulin human regular,insulin human regular,insulin human regular,insulin human regular,insulin human regular,insulin human regular,insulin human regular,insulin,insulin,insulin,insulin,insulin human regular,insulin human regular,insulin human,insulin,insulin,insulin,insulin,insulin,insulin,insulin human
NS,sodium chloride 9 mg/ml,sodium chloride 4.5 mg/ml,normal saline,"i apologize, but i dont have enough information to determine the generic name for ""ns"" with certainty. ""ns"" is often an abbreviation",normal saline,"i apologize, but i dont have enough information to determine a specific generic name for ""ns"". this abbreviation could potentially stand for different things in various","i apologize, but i dont have enough information to determine a specific generic name for ""ns"" with confidence. ""ns"" is often an abbreviation","i apologize, but ""ns"" is not a standard drug name or abbreviation that i can confidently interpret as a specific medication according to rxn",ns,normal saline,the generic name of the drug is nas,the generic name of the drug is nas,the generic name of the drug is nors,the generic name of the drug is nors,"sodium   (note: the input ""[ns",the generic name for [ns],the generic name for [ns] is,the generic name for [ns] is,the generic name for [ns] is,the generic name for [ns] is,the generic name for the drug [ns,the generic name for [ns] in,vancomycin,sodium chloride,the generic name for the drug [ns,the generic name for the drug [ns,ns,the generic name for the drug [ns,normal saline,sodium chloride,sodium chloride,nystatin,nystatin,nystatin,nystatin,ns
Furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride -> potassium chloride  the generic,potassium chloride,potassium chloride,potassium chloride,"sure, i can help with that.",potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium chloride,potassium,potassium,potassium,potassium,potassium,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium
Morphine Sulfate,morphine sulfate,morphine,morphine,morphine sulfate,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine sulfate,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine
Aspirin EC,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin
Calcium Gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate -> calcium glucon,calcium gluconate,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium,calcium,calcium,calcium,calcium,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium,calcium
Atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin,atorvastatin
5% Dextrose,glucose 50 mg/ml,glucose 50 mg/ml,glucose 50 mg/ml,dextrose 5%,dextrose 5%,5% dextrose,5% dextrose,dextrose 5% in water,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,5% dextrose,5% dextrose is a solution,5% dextrose,5% dextrose,5% dextrose,5% dextrose,5% dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,glucose 50 mg/ml,glucose 50 mg/ml,dextrose 5%,dextrose 5%,5% dextrose,dextrose,dextrose 5%
Thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine is the generic name for,thiamine,thiamine is the generic name for,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine
Vitamin D,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,cholecalciferol,cholecalciferol,cholecalciferol,the generic name is cholecalcifer,cholecalciferol,vitamin d,vitamin d,cholecalciferol,vitamin d,[vitamin d] is,"sure, i can help with that.",vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,vitamin d,cholecalciferol,cholecalciferol,cholecalciferol,cholecalciferol,cholecalciferol,vitamin d,vitamin d
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
Fentanyl Citrate,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl citrate would be,fentanyl citrate,fentanyl citrate,fentanyl citrate can be,fentanyl citrate,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl
Pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole
HYDROmorphone (Dilaudid),hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydrocodone,hydrocodone is not present in the,hydrocodone is not present in the,hydrocodone,hydrocodone,hydrocodone -> hydrocodone,hydrocodone is not present in the,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone
Morphine Sulfate,morphine sulfate,morphine,morphine,morphine sulfate,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine sulfate,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
HydrALAzine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine would be classified as,hydralazine would be classified as,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,the generic name for the drug [hy,"sure, i can help with that.","sure, i can help with that.",hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine
Heparin Flush (10 units/ml),heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin
Ferrous Sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate would be classified as,ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate,"sure, i can help with that",ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate -> iron,ferrous sulfate,ferrous sulfate,ferrous sulfate -> iron,ferrous,ferrous,ferrous,ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous sulfate,ferrous,ferrous
HydrALAZINE,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine would be classified as,hydralazine -> hydral,hydralazine -> hydral,hydralazine -> hydral,hydralazine -> hydral,hydralazine -> hydral,hydralazine -> hydralazine,hydralazine,hydralazine,the generic name for the drug [hy,the generic name for the raw drug name,"sure, i can help with that.",hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine
Docusate Sodium,docusate,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate,docusate sodium -> docusate,docusate sodium -> docusate,docusate sodium,docusate sodium -> docusate,docusate sodium -> docusate,docusate sodium -> docusate,docusate,docusate sodium,docusate sodium,docusate sodium,docusate sodium is the generic,docusate sodium,docusate sodium can be simpl,docusate sodium,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate
