drugname,generic_name,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42,pred_43,pred_44,pred_45,pred_46,pred_47,pred_48,pred_49,pred_50,pred_51,pred_52,pred_53,pred_54,pred_55,pred_56,pred_57,pred_58,pred_59,pred_60,pred_61,pred_62,pred_63,pred_64,pred_65,pred_66,pred_67,pred_68,pred_69,pred_70
acetaMINOPHEN 650MG RECT SUPP,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
3 ML PLAS CONT: IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,albuterol 0.833 mg/ml / ipratropium 0.167 mg/ml,ipratropium/albuterol,ipratropium bromide/albuterol sulfate,ipratropium/albuterol,ipratropium/albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albut,ipratropium-albut,ipratropium-albut,ipratropium-albut,ipratropium-albut,ipratropium-albuter,ipratropium bromide-,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol
PEPCID,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,pepcid is classified as famot,pepcid is classified as fam,pepcid is a brand name for,pepcid is a brand name for,pepcid is a brand name for,pepcid,famotidine,famotidine,famotidine,famotidine,pepcid -> famotidine,pepcid,pepcid,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl citrate,fentanyl citrate,fentanyl citrate,fentanyl citrate,fentanyl citrate,fentanyl citrate,fentanyl citrate,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl
VANCOMYCIN HCL 1000 MG IV SOLR,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin
MORPHINE SULFATE,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine
LORAZEPAM,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam
1000 ml flex cont : sodium chloride 0.9 % iv soln,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride intravenous solution,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride,sodium chloride 0.9%,sodium chloride,sodium chloride iv soln
SODIUM CHLORIDE 0.9 % IJ SOLN,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride intravenous solution,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
FAMOTIDINE 20 MG/2 ML SDV INJ,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine
POTASSIUM CHLORIDE,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium,potassium chloride,potassium chloride,potassium,potassium,potassium chloride,potassium,potassium
INSULIN (REGULAR) 100 UNITS in 1,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin regular,insulin regular,the generic name for the drug [ins,insulin regular,insulin regular,insulin regular,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin regular
ENOXAPARIN 40 MG/0.4 ML SYR,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin
cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime,cefepime
INSULIN ASPART 100 UNIT/ML SC SOLN,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart
ACETAMINOPHEN 325 MG PO TABS,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
morPHINe,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,the generic name for the drug [mor,the generic name for the drug [mor,the generic name for the raw drug name,the generic name for the raw drug name,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine
"SODIUM CHLORIDE 0.9% 1,000 ML BAG",sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
NovoLOG,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,novolog is a brand name for insulin,insulin aspart,insulin aspart,the generic name for [novo,the generic name for the drug [n,novolog is a type of insulin,the generic name for the raw drug name,novolog is a brand name for ins,insulin aspart,novolog,novolog,the generic name for the drug [nov,novolog,novolog,novolog,novolog,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart
albuterol-ipratropium 3-0.5mg,albuterol 0.833 mg/ml / ipratropium 0.167 mg/ml,albuterol/ipratropium,albuterol/ipratropium,albuterol/ipratropium,albuterol/ipratropium,albuterol/ipratropium,albuterol/ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol-iprat,albuterol-iprat,"sure, i can help you with",albuterol ipratropium,albuterol-iprat,albuterol-ipratrop,albuterol-ipratrop,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol/ipratropium,albuterol/ipratropium,albuterol/ipratropium,albuterol/ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium
LACTATED RINGERS IV SOLP,calcium chloride 0.2 mg/ml / potassium chloride 0.3 mg/ml / sodium chloride 6 mg/ml / sodium lactate 3.1 mg/ml,calcium chloride 0.2 mg/ml / potassium chloride 0.3 mg/ml / sodium chloride 6,calcium chloride 0.2 mg/ml / potassium chloride 0.3 mg/ml / sodium chloride 6,lactated ringers solution,lactated ringers,lactated ringers,lactated ringers,lactated ringers solution,calcium chloride / potassium chloride / sodium chloride,calcium chloride / potassium chloride / sodium chloride,lactated ringers,lactated ringers,lactated ringers,lactated ringers,lactated ringers injection,lactated ringers solution,lactated ringers solution,lactated ringers solution,lactated ringers solution,lactated ringers solution,lactated ringers solution,lactated ringers solution,lactated ringers,lactated ringers,lactated ringers,lactated ringers,lactated ringers,lactated ringers,lactated ringers,calcium chloride 0.2 mg,calcium chloride 0.2 mg,lactated ringers,lactated ringers,lactated ringers,lactated ringers,lactated ringers
POLYETHYLENE GLYCOL 3350 UDPWD,polyethylene glycol,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol 3350
VERSED,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,the generic name for the drug [ver,the generic name for the drug [ver,the generic name for the drug [ver,the generic name for the drug [ver,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam
500 ML FLEX CONT EXCEL : SODIUM CHLORIDE 0.9 % IV SOLN,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride intravenous solution,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride 0.9%,sodium chloride
ACETAMINOPHEN 650 MG RE SUPP,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
DOCUSATE SODIUM,docusate,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate,docusate sodium would be classified as,docusate,docusate sodium would be classified as,docusate sodium would be classified as,docusate,docusate,docusate,docusate sodium,"sure, i can help with that.",docusate sodium,docusate sodium  conf,docusate sodium can be simpl,docusate sodium can be simpl,docusate sodium is the generic,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate
potassium CHLORIDE 10 mEq i,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride
OXYCODONE IR,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone
magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium,magnesium sulfate -> magnesium sulfate,magnesium sulfate -> magnesium sulfate  the generic,magnesium sulfate -> magnesium sulfate,magnesium sulfate -> magnesium sulfate,magnesium sulfate -> magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,"sure, i can help with that.",magnesium sulfate,magnesium sulfate,"sure, i can help with that.",magnesium sulfate,magnesium sulfate -> magnesium,magnesium sulfate -> magnesium,magnesium sulfate -> magnesium,magnesium sulfate -> magnesium,magnesium sulfate,magnesium sulfate,magnesium,magnesium,magnesium sulfate,magnesium sulfate,magnesium,magnesium sulfate,magnesium,magnesium
FUROSEMIDE 10 MG/1 ML 2ML SDV INJ,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
ZOSYN,piperacillin-tazobactam,piperacillin/tazobactam,piperacillin/tazobactam,piperacillin/tazobactam,piperacillin/tazobactam,piperacillin-tazobactam,piperacillin-tazobactam,piperacillin-tazobactam,piperacillin/tazobact,piperacillin/tazobact,piperacillin/tazobact,piperacillin/tazobact,piperacillin-tazobact,piperacillin-tazobact,piperacillin-tazobact,piperacillin-t,piperacillin-t,the generic name for the drug [z,zosyn is a trade name for,zosyn is a trade name for,zosyn is a brand name for,piperacillin sodium t,piperacillin/tazobact,piperacillin/tazobact,piperacillin/tazobact,the generic name for the drug [z,zosyn,piperacillin-tazobact,piperacillin-tazobact,piperacillin/tazobact,piperacillin/tazobact,piperacillin/tazobact,piperacillin/tazobact,piperacillin tazobact,piperacillin-tazobact,piperacillin-tazobact
Protonix,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,[protonix] would be,the generic name for the drug [pro,the generic name for the drug [pro,the generic name for the drug [pro,"sure, i can help with that.",pantoprazole,pantoprazole,pantoprazole,pantoprazole,protonix -> pantoprazole,protonix,protonix,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole
2 ML VIAL : FENTANYL CITRATE 0.05 MG/ML IJ SOLN,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl citrate,fentanyl citrate,fentanyl citrate,fentanyl citrate,fentanyl citrate,fentanyl citrate,fentanyl citrate,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl
LORazepam 2 MG/1 ML 1 ML INJ,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam,lorazepam
INSULIN LISPRO,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro -> lispro is a,insulin lispro,insulin lispro,insulin lispro -> lispro is a,insulin lispro -> lispro is a,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro -> insulin,insulin lispro -> insulin,insulin lispro -> insulin,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro
ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin sodium,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin sodium,enoxaparin sodium,enoxaparin sodium,enoxaparin,enoxaparin sodium,enoxaparin,enoxaparin sodium,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin
POTASSIUM CHLORIDE ER,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride
OXYCODONE-ACETAMINOPHEN 5-325 MG PO TABS,acetaminophen / oxycodone,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone and acetaminophen,oxycodone/acetaminophen,oxycodone-acetaminophen,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetamin,oxycodone-acetamin,oxycodone-acetamin,oxycodone-acetamin,oxycodone-acetamin,oxycodone-acetamin,oxycodone-acetamin,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone acetaminophen,oxycodone-acetaminophen,oxycodone acetaminophen
ASPIRIN,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,acetaminophen,acetylsalicylic acid,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin
ONDANSETRON HCL (PF) 4 MG/2 ML INJECTION 2 ML VIAL,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron hcl,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron
BISACODYL 10 MG RECT SUPP,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,"sure, i can help you with",bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl
FAMOTIDINE 20 MG TAB,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine
WARFARIN,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin,warfarin
DUONEB 3 MG-0.5 MG/3 ML UD INH SOLN,albuterol 0.833 mg/ml / ipratropium 0.167 mg/ml,ipratropium/albuterol,ipratropium bromide/albuterol sulfate,ipratropium/albuterol,ipratropium/albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium/albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,ipratropium-albuterol,duoneb,duoneb 3 mg-0,duoneb is a combination of ip,duoneb is a combination of ip,duoneb is a combination of ip,duoneb is a combination of ip,aclidinium bromide,ipratropium bromide,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,albuterol-ipratropium,duoneb,albuterol-ipratropium,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium/albuterol,ipratropium bromide/albuterol,ipratropium bromide/albuterol,ipratropium bromide albuterol
10 ML - INSULIN GLARGINE 100 UNIT/ML SC SOLN,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine
50 ML - ALBUMIN HUMAN 25 % IV SOLN,albumin 250 mg/ml,albumin human,albumin human 250 mg/ml,albumin human 25%,albumin human 25%,albumin human 25%,albumin human 25%,albumin human 25%,albumin human,albumin human,albumin human,albumin human,albumin human,albumin human,albumin human,albumin human 25 %,human albumin,human albumin 25%,albumin human 25 %,albumin human 25%,albumin human 25%,albumin human 25%,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin human
KLOR-CON,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,klor-con is a pot,the generic name for [kl,the generic name for the drug [k,the generic name for [klor,the generic name for [klor,klor-con is a potass,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,klor con,klor-con,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride
Tylenol,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,the generic name for the drug [ty,tylenol is a brand name for,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
