,hospitalid,drugname,routeadmin,count
15967,459,ETOMIDATE,INTRAVEN,18
15968,248,POTASSIUM CHLORIDE 20 MEQ/50ML IV SOLN,Intravenous,18
15969,155,HYDROmorphone 1 MG/1 ML SYR,IV,18
15970,68,LEVOTHYROXINE SODIUM 75 MCG PO TABS,PO,18
15971,258,TRAZODONE,TUBE,18
15972,279,INSULIN HUMAN REGULAR,SUBCUT,18
15973,181,sodium bicarbonate,PO,18
15974,182,carvedilol,PO,18
15975,283,FUROSEMIDE 80 MG PO TABS,PO,18
15976,73,CLONAZEPAM 0.5 MG PO TABS,PER NG TUBE,18
15977,59,ATORVASTATIN CALCIUM 80 MG PO TABS,PO,18
15978,68,TRAZODONE HCL 50 MG PO TABS,PO,18
15979,310,KAYCIEL,G Tube,18
15980,328,SODIUM CHLORIDE 0.9 % IV : 250 ML,IV,18
15981,200,CALCIUM GLUCONATE 10 % IV SOLN 10ML,IVPB,18
15982,205,furosemide (LASIX) inj 20 mg,IV PUSH,18
15983,206,MAGNESIUM SULFATE 50 % IJ SOLN,IVPB,18
15984,328,HALDOL,IV,18
15985,312,MAGNESIUM SULFATE IN D5W 1 GRAM/100 ML IV PIGGY BACK : 100 ML,IV,18
15986,251,10 ML VIAL : INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,Intravenous,18
15987,248,50 ML SYRINGE : SODIUM BICARBONATE 8.4 % IV SOLN,Intra-arterial,18
15988,256,calcium chloride,Intravenous,18
15989,262,morphine,Intravenous,18
15990,258,diltiazem,Intravenous,18
15991,417,"heparin (porcine) injection 5,000 Units",IV,18
15992,336,PHENYLEPHRINE,DEVICE,18
15993,312,LABETALOL,DEVICE,18
15994,336,METOPROLOL,DEVICE,18
15995,331,KETOROLAC,DEVICE,18
15996,312,LIDOCAINE HCL 2%,DEVICE,18
15997,245,ALBUTEROL SULFATE (2.5 MG/3ML) 0.083% IN NEBU,IN,18
15998,61,2 ML  -  PROCHLORPERAZINE EDISYLATE 5 MG/ML IJ SOLN,IV,18
15999,73,LORAZEPAM 1 MG PO TABS,PER NG TUBE,18
16000,251,DIAZEPAM 5 MG PO TABS,Oral,18
16001,251,TRAMADOL HCL 50 MG PO TABS,Oral,18
16002,199,oxyCODONE (OXY IR) cap-tab 5 mg,PEGTUBE,18
16003,61,ALPRAZOLAM 0.25 MG PO TABS,PO,18
16004,268,LORAZEPAM 0.5 MG PO TABS,PO,18
16005,279,DIGOXIN,.ROUTE,18
16006,281,ACETAMINOPHEN,.ROUTE,18
16007,272,METOCLOPRAMIDE HCL,.ROUTE,18
16008,459,HYDROMORPHONE HCL,ORAL,18
16009,268,WARFARIN SODIUM 1 MG PO TABS,PO,18
16010,195,Flagyl,IVPB,18
16011,338,APRESOLINE,NG Tube,18
16012,312,KAYEXALATE,NG Tube,18
16013,300,CATAPRES,NG Tube,18
16014,342,"HEPARIN (PORCINE) 5,000 UNIT/ML INJECTION : 1 ML VIAL",subCUT,18
16015,226,lidocaine,Tracheal Tube,18
16016,73,LISINOPRIL 5 MG PO TABS,PER NG TUBE,18
16017,68,WARFARIN SODIUM 1 MG PO TABS,PO,18
16018,199,NOREPINEPHRINE BITARTRATE 1 MG/ML IV SOLN,PERIPH IV,18
16019,413,SODIUM CHLORIDE 0.9 % IV SOLP,IArt,18
16020,200,plasma-LYte 148 infusion,IV,18
16021,249,1000 ML FLEX CONT : SODIUM CHLORIDE 0.45 % IV SOLN,Intravenous,18
16022,69,100 ML BAG CUSTOM NDC : INSULIN INFUSION,IV,18
16023,58,FENTANYL STANDARD INFUSION 10 MCG/ML PREMIX,IV,18
16024,259,calcium chloride,Intravenous,18
16025,307,DEXTROSE 5% IN WATER (D5W) IV : 1000 ML BAG,IV,18
16026,303,ZOCOR,Oral,18
16027,56,1 ML  -  NALOXONE HCL 0.4 MG/ML IJ SOLN,IV,18
16028,420,LISINOPRIL,ZPYXVEND,18
16029,424,FENTANYL 2000 MCG/100 ML NS,ZPYXVEND,18
16030,331,DULCOLAX,Oral,18
16031,244,VITAMIN D 1000 UNITS PO TABS,PO,18
16032,420,levothyroxine,PEG TUBE,18
16033,420,"ASPIRIN, CHILDREN'S",PEG TUBE,18
16034,420,MULTIVITAMINS,GASTRIC TU,18
16035,338,TYLENOL,G Tube,18
16036,331,PHENERGAN,Oral,18
16037,227,famotidine,Feeding Tube,18
16038,264,LORazepam,Sublingual,18
16039,262,methylPREDNISolone sod suc(PF),Intravenous,18
16040,323,DUONEB,Inhalation,18
16041,226,cefepime,IntraVENOUS,18
16042,258,albuterol,Nebulization,18
16043,337,OPTIRAY 320,Intra-arTERi,18
16044,258,predniSONE,Oral,18
16045,259,labetalol,Oral,18
16046,449,ACETAMINOPHEN 500 MG PO TABS,Nasogastric Tube,18
16047,122,LACTULOSE 20 GRAM/30 ML ORAL SOLN,PER NG TUBE,18
16048,180,labetalol,PO,18
16049,423,MILK OF MAGNESIA,ORAL,18
16050,259,THIAMINE,IM,18
16051,412,TRAZODONE  50 MG ORAL TAB,Oral,18
16052,158,DEXMEDETOMIDINE 200 MCG in 50 mL NS,IV,18
16053,272,FAMOTIDINE,IV,18
16054,412,MAGNESIUM OXIDE 400 MG ORAL TAB,Oral,18
16055,68,10 ML  -  ATROPINE SULFATE 0.1 MG/ML IJ SOLN,IV,18
16056,423,SIMVASTATIN,ORAL,18
16057,68,10 ML VIAL : CALCIUM CHLORIDE 10 % IV SOLN,IV,18
16058,155,SODIUM CHLORIDE 0.9% 50 ML PB,IV,18
16059,353,AMLODIPINE,ORAL,18
16060,183,Reglan,PO,18
16061,226,aspirin,J-Tube,18
16062,148,KETOROLAC 30 MG/ML 1ML SDV INJ,IV Push,18
16063,345,BUMEX,IV,18
16064,420,oxyCODONE,NASOGASTRI,18
16065,79,METHYLPREDNISOLONE SOD SUCC,.ROUTE,18
16066,282,ASPIRIN,.ROUTE,18
16067,226,fentaNYL,Epidural,18
16068,336,COMPAZINE,Oral,18
16069,266,gabapentin,Oral,18
16070,449,POLYETHYLENE GLYCOL 3350 PO POWD,Oral Gastric Tube,18
16071,252,K PHOS MONO-SOD PHOS DI & MONO 155-852-130 MG PO TABS,Oral,18
16072,224,15 ml vial : sodium phosphate 3 mmole/ml iv soln,IV,18
16073,268,CARVEDILOL 3.125 MG PO TABS,PO,18
16074,266,MIDAZOLAM,IV CONT,17
16075,353,DIGOXIN,ORAL,17
16076,83,BISACODYL SUPP,RECTAL,17
16077,174,potassium CHLORIDE 10 mEq i,IVPB,17
16078,449,POTASSIUM CHLORIDE 20 MEQ PO PACK,Dobhoff Tube,17
16079,259,TAMSULOSIN,ORAL,17
16080,226,metoprolol,Intravenous,17
16081,259,METOPROLOL,NG,17
16082,262,DEXAMETHASONE,IV,17
16083,447,acetaminophen (TYLENOL) tablet 650 mg,PO,17
16084,268,ALLOPURINOL 100 MG PO TABS,PO,17
16085,259,ALLOPURINOL,ORAL,17
16086,422,DIAZEPAM,PO,17
16087,365,BUMETANIDE,IV,17
16088,176,DUONEB 3 MG-0.5 MG/3 ML UD INH SOLN,INH,17
16089,181,ALPRAZolam,PO,17
16090,358,AMIODARONE 200 MG TABLET,Oral,17
16091,425,SPIRONOLACTONE,PO,17
16092,226,LEVOFLOXACIN,ORAL,17
16093,249,LEVOFLOXACIN 750 MG PO TABS,Oral,17
16094,259,metoclopramide,Oral,17
16095,264,METOCLOPRAMIDE,TUBE,17
16096,336,REGLAN,Oral,17
16097,226,HALOPERIDOL,ORAL,17
16098,194,SODIUM POLYSTYRENE SULFONATE,ORAL,17
16099,266,morphine,Intravenous,17
16100,420,HYDROmorphone,GASTRIC TU,17
16101,421,fentaNYL citrate (PF),IV,17
16102,180,diltiazem,PO,17
16103,300,VANCOCIN,G Tube,17
16104,226,FERROUS SULFATE,ORAL,17
16105,365,LORAZEPAM 2 MG/ML INJECTION SOLUTION,IM,17
16106,155,SODIUM CHLORIDE 0.9% 500 ML LVP,IV,17
16107,353,FUROSEMIDE,IVDRIP,17
16108,424,NALOXONE,INTRAVENOU,17
16109,175,DEXT 5% IN WATER 1000 ML LVP,IV,17
16110,424,CALCIUM GLUCONATE 2 G/50 ML NS,INTRAVENOU,17
16111,108,ONDANSETRON HCL,PO,17
16112,95,SPIRONOLACTONE,PO,17
16113,281,SENNOSIDES,PO,17
16114,244,POTASSIUM CHLORIDE 20 MEQ PO PACK,PO,17
16115,360,ATENOLOL,PO,17
16116,60,ALLOPURINOL 100 MG PO TABS,PO,17
16117,194,MAGNESIUM OXIDE,ORAL,17
16118,196,lactulose,PO,17
16119,196,Benadryl,PO,17
16120,157,FAMOTIDINE 20 MG TAB,FT,17
16121,338,PEPCID,G Tube,17
16122,140,KEPPRA,PO,17
16123,58,CARVEDILOL 12.5 MG PO TABS,PO,17
16124,56,LORAZEPAM 0.5 MG PO TABS,PO,17
16125,243,TACROLIMUS 1 MG PO CAPS,PO,17
16126,154,PANTOPRAZOLE 40 MG INJ,IVPB,17
16127,279,LEVOTHYROXINE SODIUM,IV,17
16128,275,POTASSIUM CHLORIDE,G-TUBE,17
16129,422,KETOROLAC TROMETHAMINE,IVP,17
16130,423,LEVOFLOXACIN,INTRAVENOUS,17
16131,360,PHENYLEPHRINE HCL,IV,17
16132,144,NORMAL SALINE FLUSH,IV,17
16133,95,SODIUM CHLORIDE 0.9% 500 ML BAG,IV,17
16134,459,PROMETHAZINE HCL,INTRAMUSC,17
16135,164,oxyCODONE 5 MG TAB,PO,17
16136,108,hydrALAZINE INJ,IV,17
16137,165,acetaMINOPHEN 325 MG TAB,NG,17
16138,108,HALOPERIDOL LACTATE INJ,IVP,17
16139,423,SALINE FLUSH,INTRAVENOUS,17
16140,253,TAMSULOSIN HCL 0.4 MG PO CAPS,Oral,17
16141,143,MAGNESIUM OXIDE,PO,17
16142,164,GABAPENTIN 300 MG CAP,PO,17
16143,164,ATORVASTATIN 20 MG TAB,PO,17
16144,251,WARFARIN SODIUM 5 MG PO TABS,Oral,17
16145,155,CALCIUM CARBONATE 500 MG CHEW TAB,Chewed,17
16146,157,metoCLOPRAMIDE 5 MG/1ML 2ML SDV INJ,IV,17
16147,140,NITRO-BID,TOP,17
16148,342,LOPRESSOR,IV,17
16149,143,TORADOL,IM,17
16150,66,30 ML  -  IOPAMIDOL 61 % IV SOLN,OTHER,17
16151,60,VANCOMYCIN HCL 10 G IV SOLR,IV,17
16152,60,POTASSIUM CHLORIDE 20 MEQ PO PACK,PO,17
16153,66,WARFARIN SODIUM 2 MG PO TABS,PO,17
16154,71,10 ML  -  HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,DIALYSIS,17
16155,61,OXYCODONE HCL 5 MG PO TABS,PO,17
16156,244,INSULIN ASPART 100 UNIT/ML SC SOLN,IV,17
16157,269,POTASSIUM CHLORIDE 20 MEQ PO PACK,PER NG TUBE,17
16158,195,cisatracurium,IV,17
16159,184,metoprolol,IV,17
16160,183,metroNIDAZOLE,IV,17
16161,183,calcium gluconate,IV,17
16162,268,DIAZEPAM 5 MG PO TABS,PO,17
16163,181,clindamycin,IVPB,17
16164,196,Levaquin,PO,17
16165,243,MAGNESIUM SULFATE 50 % IJ SOLN,IV,17
16166,71,CEFEPIME HCL 2 G IJ SOLR,IV,17
16167,56,CEFAZOLIN 2 GM IN NS 100 ML IVPB (REPACKAGE),IV,17
16168,183,Ativan,IM,17
16169,243,LORAZEPAM 2 MG/ML IJ SOLN,IM,17
16170,59,WARFARIN SODIUM 1 MG PO TABS,PO,17
16171,67,WARFARIN SODIUM 2.5 MG PO TABS,PO,17
16172,157,VANCOmycin 1.25 GM in NS 500ML IVPB,IV,17
16173,61,ENOXAPARIN SODIUM 30 MG/0.3ML SC SOLN,SC,17
16174,148,AZITHromycin 500 mg in NS 250 mL IV,IV,17
16175,422,HYDRALAZINE HCL,IVP,17
16176,424,fentaNYL,TRANSDERMA,17
16177,279,HYDROCORTISONE SOD SUCCINATE,IV,17
16178,194,HYDROCHLOROTHIAZIDE,ORAL,17
16179,183,Ativan,IM/IV,17
16180,195,oxyCODONE,J-tube,17
16181,184,Reglan,PO,17
16182,195,oxyCODONE,Feeding,17
16183,198,Reglan,PO,17
16184,198,levothyroxine,IV,17
16185,142,ZESTRIL,ND,17
16186,158,ASPIRIN 325MG TAB,PO,17
16187,167,THIAMINE 100 MG TAB,FT,17
16188,92,THIAMINE HCL,PO,17
16189,108,HYDROCHLOROTHIAZIDE,PO,17
16190,422,HYDROCHLOROTHIAZIDE,PO,17
16191,95,MULTIVITAMINS,PO,17
16192,360,FUROSEMIDE,PO,17
16193,142,NORVASC,NG,17
16194,58,METOPROLOL SUCCINATE ER 25 MG PO TB24,PO,17
16195,61,5 ML SYRINGE : HEPARIN SODIUM LOCK FLUSH 10 UNIT/ML IV SOLN,IK,17
16196,60,DIGOXIN 125 MCG PO TABS,PO,17
16197,251,DIGOXIN 125 MCG PO TABS,Oral,17
16198,268,ASPIRIN EC 325 MG PO TBEC,PO,17
16199,443,ASPIRIN EC 325 MG PO TBEC,PO,17
16200,56,LEVOTHYROXINE SODIUM 100 MCG PO TABS,PO,17
16201,250,LEVOTHYROXINE SODIUM 100 MCG PO TABS,Oral,17
16202,342,MIRALAX,Oral,17
16203,283,PREDNISONE 50 MG PO TABS,PO,17
16204,68,ALLOPURINOL 100 MG PO TABS,PO,17
16205,61,AMLODIPINE BESYLATE 5 MG PO TABS,PO,17
16206,69,AMLODIPINE BESYLATE 10 MG PO TABS,PO,17
16207,249,AMLODIPINE BESYLATE 5 MG PO TABS,Oral,17
16208,249,LOSARTAN POTASSIUM 50 MG PO TABS,Oral,17
16209,253,NICOTINE 21 MG/24HR TD PT24,Transdermal,17
16210,56,ATORVASTATIN CALCIUM 20 MG PO TABS,PO,17
16211,226,lisinopril,Feeding Tube,17
16212,69,METOPROLOL SUCCINATE ER 25 MG PO TB24,PO,17
16213,143,ATIVAN,IM,17
16214,108,BISACODYL,PO,17
16215,180,aspirin,MISC,17
16216,184,amiodarone,MISC,17
16217,184,clopidogrel,MISC,17
16218,174,WARFARIN 5 MG TAB,PO,17
16219,167,INSULIN-REGULAR (HUMAN) *UNIT* INJ,SubQ,17
16220,146,ALBUTEROL 2.5 MG/3 ML UD INH SOLN,INH,17
16221,158,fentaNYL (PF) 50 MCG/1 ML 2 ML INJ,IV,17
16222,158,SODIUM CHLORIDE 0.9% 500 ML LVP,IV,17
16223,155,cefTRIAXone 1 GRAM in NS 50 mL IVPB,IV,17
16224,202,potassium CHLORide liquid 20 mEq,PEGTUBE,17
16225,179,GLUCOSE 40% 15 GRAM BQ GEL,PO,17
16226,141,ATIVAN,IM,17
16227,56,LEVOTHYROXINE SODIUM 25 MCG PO TABS,PO,17
16228,184,bisacodyl,Rectal,17
16229,182,atorvastatin,PO,17
16230,181,famotidine,PO,17
16231,180,warfarin,PO,17
16232,180,ALPRAZolam,PO,17
16233,67,DIAZEPAM 5 MG PO TABS,PO,17
16234,226,clonazePAM,Oral,17
16235,60,SIMVASTATIN 40 MG PO TABS,PO,17
16236,200,"NSS 0.9% 1,000 mL bolus infusion",IV,17
16237,249,WARFARIN SODIUM 2.5 MG PO TABS,Oral,17
16238,266,insulin regular,Intravenous,17
16239,251,50 ML SYRINGE : SODIUM BICARBONATE 8.4 % IV SOLN,Intravenous,17
16240,253,MIDODRINE HCL 5 MG PO TABS,Oral,17
16241,181,metoclopramide,MISC,17
16242,249,1 ML VIAL : DIPHENHYDRAMINE HCL 50 MG/ML IJ SOLN,Intravenous,17
16243,264,lidocaine,Intradermal,17
16244,337,metoprolol,DEVICE,17
16245,212,150 ml flex cont : sodium chloride 0.9 % iv soln,OTHER,17
16246,199,fentaNYL inj 25 mcg,IV,17
16247,205,morphine sulfate (pf) inj 2 mg,IV PUSH,17
16248,73,HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,PEG TUBE,17
16249,67,PROCHLORPERAZINE MALEATE 5 MG PO TABS,PO,17
16250,56,LORAZEPAM 2 MG/ML IJ SOLN,IV,17
16251,59,KETOROLAC INJ,IM,17
16252,206,acetaminophen (TYLENOL) tab 650 mg,NGT,17
16253,58,100 ML  -  METRONIDAZOLE IN NACL 5-0.79 MG/ML-% IV SOLN,IV,17
16254,58,DIAZEPAM 5 MG PO TABS,PO,17
16255,199,THIAMINE HCL 100 MG/ML IJ SOLN,CENTRAL IV,17
16256,95,"LACTATED RINGER'S 1,000 ML BAG.",.ROUTE,17
16257,425,AZITHROMYCIN,.ROUTE,17
16258,282,SODIUM BICARBONATE 8.4%,.ROUTE,17
16259,272,Insulin Aspart,.ROUTE,17
16260,279,PHENYLEPHRINE HCL,.ROUTE,17
16261,227,MIDAZOLAM,IM,17
16262,271,Sodium Chloride 0.9%,INH,17
16263,279,VANCOMYCIN HCL,.ROUTE,17
16264,73,FAMOTIDINE 20 MG PO TABS,PER G TUBE,17
16265,245,PHENYLEPHRINE HCL 10 MG/ML IJ SOLN,IV,17
16266,310,DECADRON,IV,17
16267,300,CARDIZEM,G Tube,17
16268,303,FLAGYL,Oral,17
16269,312,FLAGYL,Oral,17
16270,342,FLAGYL,IV,17
16271,175,DEXTROSE 50% 25 GRAM/50 ML INJ,IV,17
16272,244,WARFARIN SODIUM 3 MG PO TABS,PO,17
16273,59,100 ML BAG CUSTOM NDC : INSULIN INFUSION,IV,17
16274,56,AMIODARONE 450 MG/250 ML D5W INFUSION (STD CON'C) (REPACKAGE),IV,17
16275,67,10 ML  -  NICARDIPINE HCL 2.5 MG/ML IV SOLN,IV,17
16276,175,CHLORHEXIDINE GLUCONATE UD LIQ 15ML,Oral swab,17
16277,424,MIDAZOLAM 100 MG/100 ML NS,ZPYXVEND,17
16278,424,NITROGLYCERIN SL,ZPYXVEND,17
16279,449,OXYCODONE HCL 5 MG PO TABS (RANGE) PRN,Gastric Tube (PEG),17
16280,262,traZODone,Oral,17
16281,411,POTASSIUM CHLORIDE  20 MEQ ORAL PACK,NG- NasoGast,17
16282,420,THIAMINE,ORAL GASTR,17
16283,226,insulin regular,Intravenous,17
16284,227,levETIRAcetam,Intravenous,17
16285,60,WARFARIN SODIUM 2 MG PO TABS,PO,17
16286,449,ATORVASTATIN CALCIUM 80 MG PO TABS,Nasogastric Tube,17
16287,258,ALPRAZolam,Oral,17
16288,226,albuterol,Inhalation,17
16289,259,traMADol,Oral,17
16290,258,ondansetron,Oral,17
16291,363,1 ML : PROMETHAZINE 25 MG/ML INJ SOLN,IM,17
16292,69,CEFAZOLIN 2 GM IN NS 100 ML IVPB (REPACKAGE),IV,17
16293,227,nitroglycerin,Intravenous,17
16294,226,nitroglycerin,IntraVENOUS,17
16295,267,CLOPIDOGREL,PO (oral)                                                                                           ,17
16296,210,TOPROL XL,PO (oral)                                                                                           ,17
16297,207,TOPROL XL,PO (oral)                                                                                           ,17
16298,421,HumuLIN R,SUBCUT,17
16299,194,ASPIRIN,RECT,17
16300,422,FENTANYL,TD,17
16301,273,GABAPENTIN 100 MG PO CAPS,PO,17
16302,154,LIDOCAINE 1% 10MG/ML 20ML MDV INJ,Intradermal,17
16303,152,FAMOTIDINE 20 MG/2 ML SDV INJ,IV,17
16304,212,10 ml vial : calcium gluconate 10 % iv soln,IV,17
16305,158,HALOPERIDOL 5 MG/1 ML 1 ML INJ,IV Push,17
16306,310,FLAGYL,Oral,17
16307,328,FLAGYL,Oral,17
16308,167,cloNIDine 0.1 MG TAB,FT,17
16309,63,WARFARIN SODIUM 4 MG PO TABS,PO,17
16310,155,TAMSULOSIN 0.4 MG CAP,PO,17
16311,67,CARVEDILOL 6.25 MG PO TABS,PO,17
16312,243,AMLODIPINE BESYLATE 10 MG PO TABS,PER TUBE,17
16313,69,CIPROFLOXACIN IN D5W 400 MG/200ML IV SOLN,IV,17
16314,337,IMDUR,Oral,17
16315,182,heparin,MISC,17
16316,180,atropine,MISC,17
16317,422,MAGNESIUM OXIDE,PO,17
16318,171,GLUCOSE 15 GRAM/60 ML BQ LIQ,FT,17
16319,205,oxyCODONE (OXY IR) cap-tab 10 mg,PO,17
16320,449,LIDOCAINE HCL 1 % INJ SOLN,Other,17
16321,266,LIDOCAINE 1% PF,INFILTRATION,16
16322,411,MUPIROCIN 2 % TOP OINT,Intranasal,16
16323,265,INSULIN LISPRO,SQ,16
16324,345,SYNTHROID,IV,16
16325,188,INSULIN ASPART,Subcutaneous (Subcutane)                                                                            ,16
16326,273,PIPERACILLIN SOD-TAZOBACTAM SO 3-0.375 G IV SOLR,IV,16
16327,259,FOLIC ACID,IV,16
16328,198,fentaNYL,Topical,16
16329,259,PHENYLEPHRINE,IV,16
16330,188,LABETALOL HCL,IV (intravenous)                                                                                    ,16
16331,194,THIAMINE,IV,16
16332,251,5 ML VIAL : METOPROLOL TARTRATE 1 MG/ML IV SOLN,Intravenous,16
16333,342,TORADOL,IV,16
16334,196,methylPREDNISolone,PO,16
16335,93,FUROSEMIDE,IV (injection)                                                                                      ,16
16336,264,BUMETANIDE,ORAL,16
16337,264,amiodarone,Tube,16
16338,259,SPIRONOLACTONE,ORAL,16
16339,312,REGLAN,Oral,16
16340,84,ONDANSETRON HCL,IV (intravenous)                                                                                    ,16
16341,154,ALBUMIN 25% 100 ML INJ,IV,16
16342,259,DILTIAZEM,ORAL,16
16343,254,DILTIAZEM HCL,PO,16
16344,266,vancomycin,Intravenous,16
16345,226,CARVEDILOL,ORAL,16
16346,83,CARVEDILOL,PO,16
16347,199,MEROPENEM 500 MG IV SOLR,IVPB,16
16348,416,"heparin (porcine) injection 5,000 Units",IV,16
16349,155,NOREPINEPHRINE 8 MG in 250mL NS,IV,16
16350,188,"INSULIN REGULAR, HUMAN",IV - continuous infusion (injection)                                                                ,16
16351,148,VASOPRESSIN 60 UNITS in 100 mL NS,IV,16
16352,175,VASOPRESSIN 60 UNITS in 100 mL NS,IVPB,16
16353,164,DEXT 5%-NACL 0.45% 1000 ML LVP,IV,16
16354,146,niCARdipine 40 MG in 200 mL NS RTU-,IVPB,16
16355,420,LORazepam,PEG TUBE,16
16356,281,Insulin Aspart,IV,16
16357,79,ACETAMINOPHEN,PO/NG,16
16358,142,COLACE,PEG,16
16359,445,LEVETIRACETAM,PO,16
16360,443,METOPROLOL TARTRATE 50 MG PO TABS,Per NG tube,16
16361,262,POLYETHYLENE GLYCOL,ORAL,16
16362,310,COLACE,NG Tube,16
16363,353,METOPROLOL TARTRATE,ORAL,16
16364,205,metoprolol (LOPRESSOR) tab 12.5 mg,PO,16
16365,199,metoprolol (LOPRESSOR) tab 25 mg,PEGTUBE,16
16366,249,AMIODARONE HCL 200 MG PO TABS,Oral,16
16367,144,HALDOL,PO,16
16368,253,GABAPENTIN 100 MG PO CAPS,Oral,16
16369,142,PEPCID,PEG,16
16370,248,FAMOTIDINE 20 MG PO TABS,Per NG tube,16
16371,328,CHLORHEXIDINE GLUCONATE 0.12 % MOUTHWASH : 15 ML CUP,Mouth/Throat,16
16372,312,KEPPRA,Oral,16
16373,206,LEVETIRACETAM 500 MG PO TABS,PO,16
16374,175,FERROUS SULFATE 325 MG TAB,PO,16
16375,364,CARVEDILOL,ORAL,16
16376,158,PANTOPRAZOLE 40 MG INJ,IV,16
16377,226,carvedilol,Feeding Tube,16
16378,279,PHYTONADIONE,IM,16
16379,92,PHYTONADIONE,PO,16
16380,279,PHYTONADIONE,PO,16
16381,275,PHYTONADIONE,PO,16
16382,360,BISACODYL,PO,16
16383,423,Furosemide,Intravenous,16
16384,83,MIDAZOLAM INJ,IVP,16
16385,282,LIDOCAINE HCL 1%,INJ,16
16386,271,LIDOCAINE HCL 2%,INJ,16
16387,83,PROPOFOL IV EMULSION,IV,16
16388,272,HYDROMORPHONE HCL,IVP,16
16389,364,METOPROLOL TARTRATE,IV,16
16390,67,ALBUTEROL SULFATE (5 MG/ML) 0.5% IN NEBU,NEBULIZATION,16
16391,66,3 ML SYRINGE CUSTOM NDC : ANTICOAGULANT SODIUM CITRATE 4 % VI SOLN,IV,16
16392,179,fentaNYL (PF) 50 MCG/1 ML 2 ML INJ,IV Push,16
16393,58,1 ML  -  LORAZEPAM 2 MG/ML IJ SOLN,IM,16
16394,140,heparin (porcine),IV,16
16395,227,ATENOLOL,PO,16
16396,179,ALBUTEROL 2.5 MG/3 ML UD INH SOLN,SVN,16
16397,420,DIGOXIN,GASTRIC TU,16
16398,154,LABETALOL 5 MG/1ML 20ML MDV INJ,IV,16
16399,253,2.5 ML PLAS : IPRATROPIUM BROMIDE 0.02 % IN SOLN,Nebulization,16
16400,199,QUETIAPINE FUMARATE 25 MG PO TABS,PO,16
16401,167,PERCOCET 5/325 TAB,FT,16
16402,249,1 ML VIAL : HYDRALAZINE HCL 20 MG/ML IJ SOLN,Intravenous,16
16403,165,PROMETHAZINE 25 MG/1 ML 1ML SDV INJ,IVPB,16
16404,265,"RINGERS SOLUTION,LACTATED",IV,16
16405,269,PIPERACILLIN SOD-TAZOBACTAM SO 3-0.375 G IV SOLR,IV,16
16406,61,KETOROLAC INJ,IV,16
16407,279,LACTULOSE,PO,16
16408,251,ATORVASTATIN CALCIUM 40 MG PO TABS,Oral,16
16409,199,FUROSEMIDE 80 MG PO TABS,PO,16
16410,68,HYDRALAZINE HCL 50 MG PO TABS,PO,16
16411,358,GLUCAGON (HUMAN RECOMBINANT),SUBCUT,16
16412,300,"HEPARIN (PORCINE) 1,000 UNIT/ML INJECTION : 10 ML VIAL",Dwell,16
16413,63,METOPROLOL TARTRATE 25 MG PO TABS,PER NG TUBE,16
16414,69,TICAGRELOR 90 MG PO TABS,PO,16
16415,245,SODIUM BICARBONATE 8.4 % IV SOLN,IV,16
16416,180,traZODone,PO,16
16417,273,DIPHENHYDRAMINE HCL 25 MG PO CAPS,PO,16
16418,56,CEFTRIAXONE SODIUM 1 G IJ SOLR,IV,16
16419,183,enoxaparin,Subcut,16
16420,67,CARVEDILOL 12.5 MG PO TABS,PO,16
16421,258,SODIUM CHLORIDE 0.9% P.F.,IV,16
16422,164,LEVOFLOXACIN 750 mg in D5W 150mL,IV,16
16423,420,DILTIAZEM,ORAL GASTR,16
16424,423,predniSONE,Oral,16
16425,365,HYDROCHLOROTHIAZIDE,ORAL,16
16426,254,SPIRONOLACTONE,PO,16
16427,180,metoprolol tartrate,IV,16
16428,195,Tylenol,NG-tube,16
16429,184,labetalol,PO,16
16430,198,Flagyl,IVPB,16
16431,196,furosemide,PO,16
16432,198,Coumadin,PO or OG,16
16433,90,"SODIUM CHLORIDE 0.9% 1,000 ML BAG",IV,16
16434,199,aspirin chew tab 81 mg,PEGTUBE,16
16435,171,ASPIRIN 325MG TAB,NG,16
16436,140,ASPIRIN,REC,16
16437,259,FOLIC ACID,ORAL,16
16438,459,FOLIC ACID,ORAL,16
16439,459,ATENOLOL,ORAL,16
16440,206,PREDNISONE 50 MG PO TABS,PO,16
16441,360,HYDROCHLOROTHIAZIDE,PO,16
16442,447,furosemide (LASIX) injection 20 mg,IV,16
16443,264,ATORVASTATIN,NG,16
16444,262,METOPROLOL SUCCINATE,ORAL,16
16445,194,AZITHROMYCIN,IV,16
16446,73,FUROSEMIDE 80 MG PO TABS,PER NG TUBE,16
16447,56,LISINOPRIL 10 MG PO TABS,PO,16
16448,273,LEVOTHYROXINE SODIUM 25 MCG PO TABS,PO,16
16449,268,LEVOTHYROXINE SODIUM 75 MCG PO TABS,PO,16
16450,338,KLOR-CON,NG Tube,16
16451,273,FOLIC ACID 1 MG PO TABS,PO,16
16452,58,THIAMINE HCL 100 MG PO TABS,PO,16
16453,253,PREDNISONE 10 MG PO TABS,Oral,16
16454,300,LASIX,NG Tube,16
16455,280,PRAVASTATIN SODIUM 40 MG PO TABS,PO,16
16456,249,NICOTINE 21 MG/24HR TD PT24,Transdermal,16
