,drug,ndc,route,count
8259,benzon,58177009111,ORAL,9
8260,budesonide,00186198904,IH,9
8261,butorphanol tartrate,00087565041,NU,9
8262,cefUROXime axetil,00173039442,ORAL,9
8263,cycloSPORINE modified,00078024615,ORAL,9
8264,diclofenac sodium,24208045725,BOTH EYES,9
8265,formoterol fumarate,00085140201,INHALATION,9
8266,fosinopril,00087015846,ORAL,9
8267,guanFACINE,54092051302,ORAL,9
8268,heparin (porcine),63323026201,SC,9
8269,letermovir,00006307604,ORAL,9
8270,nitazoxanide,67546011132,ORAL,9
8271,nystatin,00003059320,TP,9
8272,nystatin,00168000715,TP,9
8273,ofloxacin,17478071310,OU,9
8274,omeprazole,00093521193,ORAL,9
8275,proGESTerone micronized,00032170801,ORAL,9
8276,senna,00034180080,ORAL,9
8277,sodium bicar,00409663734,IV,9
8278,urea,58980062570,TP,9
8279,zaleplon,00008092681,ORAL,9
8280,zinc oxide,74300000068,TP,9
8281,*NF* Pegaspargase,54482030101,IV,8
8282,*NF* Sunitinib,00069098038,PO,8
8283,*NF* Temozolomide,00085124402,PO,8
8284,0.45% Sodium Chloride,00338004303,IV DRIP,8
8285,0.9% Sodium Chloride,00338004902,IJ,8
8286,ALPRAZolam,51079078820,SL,8
8287,ARIPiprazole,59148001315,PO/NG,8
8288,Acetaminophen,00904198261,PR,8
8289,Acetylcysteine 20%,00409330803,PO/NG,8
8290,Albendazole,00007550040,ORAL,8
8291,Albumin 5,68516521402,IV,8
8292,Albumin 5,44206031050,IV,8
8293,Albuterol,50383074120,IH,8
8294,Albuterol ,17270072101,IH,8
8295,Albuterol Sulfate,49502069724,IH,8
8296,Aldesleukin,53905099101,IV,8
8297,Alteplase,50242004413,IT,8
8298,Alteplase (Catheter Clearance),50242004413,IV DRIP,8
8299,Alteplase (Catheter Clearance),50242004413,IVT,8
8300,Aminophylline,00409592101,IV,8
8301,Amitriptyline,51079010720,NG,8
8302,Amoxicillin,00781604146,PO/NG,8
8303,Amoxicillin-Clavulanic Acid,54868627100,PO/NG,8
8304,Amphetamine Salt Combo,00555076202,ORAL,8
8305,Amphetamine Salt Combo,00555097102,ORAL,8
8306,Ampicillin,55150011420,IV,8
8307,Ascorbic Acid (Liquid),00074349201,NG,8
8308,Atazanavir,00003362312,PO/NG,8
8309,Atorvastatin,00071015540,NG,8
8310,Atorvastatin,00071015892,NG,8
8311,Atorvastatin,00071015823,NG,8
8312,Azathioprine,65649023141,PO,8
8313,Aztreonam  Desensitization ,00003256016,IV,8
8314,Baclofen,68084085501,NG,8
8315,Bivalirudin,00781315895,IMPELLA,8
8316,Botox,00023114501,IM,8
8317,BuPROPion ,10370010103,PO,8
8318,CELEBREX,59762151701,ORAL,8
8319,Calcitriol,30698014301,PO,8
8320,Calcium Carbonate Suspension,00054811616,NG,8
8321,CarBAMazepine,00904617261,PO,8
8322,Carbamazepine,00083006230,PO,8
8323,Carbamazepine,00083006230,PO/NG,8
8324,Carbamide Peroxide 6.5%,78112073623,LEFT EAR,8
8325,Carmustine,23155026141,IV,8
8326,Cephalexin,00093314701,PO,8
8327,Chloral Hydrate,00121053205,PO/NG,8
8328,Cidofovir,67457021005,IR,8
8329,Ciprofloxacin HCl,50419077701,PO,8
8330,Citalopram,00054006258,NG,8
8331,Clobazam,67386031321,PO,8
8332,Clonazepam,57664027408,NG,8
8333,CloniDINE,40042005310,ED,8
8334,CoQ10 (300 mg),14654084868,PO,8
8335,Colazal,00054007928,ORAL,8
8336,Colchicine,64764011901,PO/NG,8
8337,Colestipol,00009045003,ORAL,8
8338,Cyanocobalamin,10135033063,NG,8
8339,CycloPHOSPHAMIDE,70121123901,IV,8
8340,CycloSPORINE (Neoral) MODIFIED,00078024615,NG,8
8341,Cyclopentolate 1%,17478010002,BOTH EYES,8
8342,D5LR,00338012504,IV INFUSION,8
8343,D5W,00338001704,IV DRIP,8
8344,Darunavir,59676056501,PO,8
8345,Demeclocycline,00005921823,ORAL,8
8346,Desipramine,00781197101,PO,8
8347,Dextrose 50%,00409490234,IV INFUSION,8
8348,Diazepam - CIWA protocol,00172392560,PO,8
8349,Diazepam - CIWA protocol,51079028420,PO,8
8350,Didanosine EC,00087667117,PO,8
8351,Didanosine EC,00555059001,PO,8
8352,Dilantin Extended,00071036240,ORAL,8
8353,Diltiazem,00093032001,PO/NG,8
8354,Disulfiram,54868503400,PO,8
8355,Divalproex Sodium,00074712611,PO,8
8356,Dornase Alfa,50242010039,IH,8
8357,Elmiron,17314930001,ORAL,8
8358,Enalapril Maleate,00904550261,PO,8
8359,Erythromycin 0.5% Ophth Oint,17478007031,RIGHT EYE,8
8360,Ethambutol HCl,68850001001,PO/NG,8
8361,FLUoxetine,00904578561,PO,8
8362,Famotidine,51079096620,IV,8
8363,Fat Emulsion 20%,00409978903,IV,8
8364,Fludarabine Phosphate,50419051106,PB,8
8365,Fluphenazine HYDROCHLORIDE,63323028110,IM,8
8366,Flurbiprofen 0.03%,11980080103,LEFT EYE,8
8367,Fluticasone Propionate NASAL,00054327099,ND,8
8368,Foradil Aerolizer,00085140201,IH,8
8369,Gentamicin,00168007115,TP,8
8370,Gentamicin Sulf. Ophth. Soln,61314063305,BOTH EYES,8
8371,Gentamicin Sulfate,54868410300,IP,8
8372,Glycopyrrolate,00603318021,NG,8
8373,HYDROmorphone (Dilaudid),42858030125,NG,8
8374,Heparin (CRRT Machine Priming),25021040201,DIALYS,8
8375,Heparin Flush (1000 units/mL),00641244045,IV,8
8376,Heparin Sodium,63323026201,IMPELLA,8
8377,HumuLIN 70/30,00002871501,SC,8
8378,Humulin-R Insulin (U-500),00002850101,SC,8
8379,HydrOXYzine,51079053120,PO,8
8380,Hydrocortisone,59762007501,PO/NG,8
8381,INV-Apixaban,00003089431,PO,8
8382,INV-Clofazimine,51927371900,PO,8
8383,Iloperidone,43068010602,PO,8
8384,Indomethacin,00006337666,PO,8
8385,Insulin Pump (Self Administering Medication),00169750111,SC,8
8386,Iodine Strong (Lugols),48433023015,PO,8
8387,Isosorbide,68084059101,PO,8
8388,Isosorbide Dinitrate,00258361301,PO,8
8389,Ketorolac 0.5% Ophth Soln,61314012605,LEFT EYE,8
8390,Ketorolac 0.5% Ophth Soln,61314012605,RIGHT EYE,8
8391,LACOSamide,00131247960,PO,8
8392,LOPERamide,51079069020,NG,8
8393,Lamictal XR,00173075600,ORAL,8
8394,Lamivudine,00173047100,ORAL,8
8395,LamoTRIgine Rectal Susp,00093046301,PR,8
8396,Lepirudin,50419015057,IV DRIP,8
8397,Levalbuterol Tartrate,63402051224,NEB,8
8398,Levofloxacin,00045152010,IV,8
8399,Levofloxacin,50458092510,NG,8
8400,Lidocaine ,00409471332,SC,8
8401,Lidocaine ,76329301205,TP,8
8402,Lidocaine 1%,55150015872,SC,8
8403,Lidocaine 2%,00409427701,IV,8
8404,Lidocaine 4%,63323049089,IH,8
8405,Linezolid,00009513503,IV,8
8406,Linezolid,00904655304,PO,8
8407,Lisinopril,00591040701,NG,8
8408,Magnesium Sulfate,63323010605,IV BOLUS,8
8409,Magnesium Sulfate,63323064220,IV DRIP,8
8410,Medium Chain Triglycerides,41679036513,J TUBE,8
8411,MedroxyPROGESTERone Acetate,59762453701,IM,8
8412,Memantine,00456321063,PO,8
8413,Meperidine,00409118069,IV,8
8414,Methadone,64019053825,NG,8
8415,Methadone (Oral Solution)  2 mg/1 mL,00406052710,PO/NG,8
8416,Methenamine Mandelate,52152011102,PO,8
8417,Methotrexate,55390003110,SC,8
8418,Methotrexate Sodium P.F.,55390003110,IV BOLUS,8
8419,MethylPREDNISolone Na Suc,00009069801,IV DRIP,8
8420,Methylprednisolone ACETATE,00009347503,IM,8
8421,Mineral Oil,11917007645,PR,8
8422,Multivitamins W/minerals Chewable,16500008806,NG,8
8423,Multivitamins W/minerals Liquid,00005434462,NG,8
8424,Muromonab-CD3,59676010101,IV,8
8425,NIFEdipine,00228249710,SL,8
8426,NIFEdipine CR,54569515500,PO,8
8427,NS,00338004938,IJ,8
8428,Naloxone Nasal Spray,69547035302,IH,8
8429,Naltrexone Extended-release Suspension,65757030001,IM,8
8430,Naproxen,50268059415,PO,8
8431,Neomycin-Polymyxin-Bacitracin Ophth. Oint,00168002738,BOTH EYES,8
8432,Niacin,00904227260,PO,8
8433,Norepinephrine,00074704101,IV DRIP,8
8434,NovoLIN R,00169183311,SC,8
8435,Nystatin ,00472132002,PO,8
8436,OXALIplatin Desensitization,16729033205,IV,8
8437,Ondan,62756035664,PO/NG,8
8438,Ondansetron ODT,00093730165,NG,8
8439,Opium Tincture (morphine 10 mg/mL),42998020301,PO,8
8440,OxycoDONE,00527142636,PO/NG,8
8441,OxycoDONE,66689040150,PO/NG,8
8442,OxycoDONE-Acetaminophen Elixir,00406051262,PO/NG,8
8443,Oxymetazoline,00904571135,ND,8
8444,Oxymetazoline HCl,00182144464,NU,8
8445,PHENObarbital,00641047625,IM,8
8446,PHENObarbital,00121053107,NG,8
8447,PHENYLEPHrine,71019028507,IV BOLUS,8
8448,Paroxetine,00029321548,PO,8
8449,Peridex,54569523500,TP,8
8450,Phenytoin,00071000740,NG,8
8451,Phenytoin Sodium Extended,00071036940,ORAL,8
8452,Pilocarpine 4%,00998020615,LEFT EYE,8
8453,Piperacillin-Tazobactam Na,00206885216,PB,8
8454,Polyvinyl Alcohol-Povidone,00023050601,OU,8
8455,Potassium Acetate,63323007620,IV,8
8456,Pramipexole,13668009290,PO/NG,8
8457,Prednisone,49999002812,PO,8
8458,PrismaSol  (B32 K0),24571010305,DIALYS,8
8459,Procainamide,00172234560,PO,8
8460,Profilnine SD,68516320003,IV,8
8461,Promacta,00078068615,ORAL,8
8462,Promethazine,00904646161,PO/NG,8
8463,Propranolol,00115166101,PO,8
8464,Propranolol,24090047188,PO/NG,8
8465,Provigil,63459010130,ORAL,8
8466,Pseudoephedrine,00536185097,PO,8
8467,Psyllium,37000002404,NG,8
8468,QUEtiapine Fumarate,68084053001,NG,8
8469,Ranitidine,00121475210,NG,8
8470,Razadyne ER,50458039660,ORAL,8
8471,Renagel,58468002001,PO,8
8472,Risperidone,50458031528,PO,8
8473,Ropivacaine 0.2%,61553025409,ED,8
8474,Sodium Chloride 0.9%,00409488850,DWELL,8
8475,Sodium Tetradecyl Sulfate 3%,65974016302,IV,8
8476,Sotalol,60505008000,ORAL,8
8477,Sulfameth/Trimethoprim,53746027101,PO,8
8478,Sumatriptan Succinate,65862014736,PO,8
8479,Tacrolimus Suspension,00469065773,SL,8
8480,Talc (Sterile),63256020005,IP,8
8481,Tetanus-Diphtheria Toxoids-Td,49281027183,IM,8
8482,Tetracaine 0.5% Ophth Soln,00065074114,BOTH EYES,8
8483,Tirofiban,25208000201,IV BOLUS,8
8484,Tolvaptan,59148002050,ORAL,8
8485,Topiramate (Topamax),17772010301,PO/NG,8
8486,Torsemide,68084053901,NG,8
8487,Tranexamic Acid,42192060510,IV DRIP,8
8488,Tranylcypromine Sulfate,49884003201,PO,8
8489,Tresiba FlexTouch U-100,00169266097,SUBCUT,8
8490,Tretinoin Suspension,00555080802,PO,8
8491,Unisom,41167000609,ORAL,8
8492,Ustekinumab,57894005427,IV,8
8493,ValGANCIclovi,00004003909,PO,8
8494,Vancomycin,00338355248,IP,8
8495,Vancomycin,00069258903,IP,8
8496,Vancomycin,67457034210,IP,8
8497,Vancomycin Desensitization,00338355248,IV,8
8498,Venlafaxine,00008083721,PO,8
8499,Verapamil,51079089920,PO,8
8500,Vigamox,00065401303,BOTH EYES,8
8501,Vitamin D,00904582461,NG,8
8502,Vitamin E,27434003185,PO,8
8503,Vitamin E,54838000530,PO/NG,8
8504,Zoledronic Acid (Zometa),25021082682,IV,8
8505,Zymar,54868479700,OS,8
8506,Zymar,54868479700,OU,8
8507,amphetamine-dextroamphetamine,00555076202,ORAL,8
8508,atorvastatin 40 mg,68084058901,PO,8
8509,atorvastatin 40 mg capsule,68084058901,PO,8
8510,benzo,58177009111,ORAL,8
8511,budesonide,00093681673,NEB,8
8512,ceFAZolin,60505074905,IV,8
8513,celecoxib,00025152034,ORAL,8
8514,cil,51079042420,ORAL,8
8515,cycloSPORINE modified,00078027422,ORAL,8
8516,diphenhydrAMINE HCl,00121048910,ORAL,8
8517,indomethacin,42211010243,PR,8
8518,ketorolac,00023218105,OS,8
8519,lansoprazole,64764054411,ORAL,8
8520,mineral oil,00121046230,PR,8
8521,moda,51079056103,ORAL,8
8522,mult,50383068304,PO,8
8523,naratriptan,00173056200,ORAL,8
8524,norgestimate-ethinyl estradiol,00555901858,ORAL,8
8525,pilocarpine HCl,00527131301,ORAL,8
8526,quiniDINE Sulfate,54868089801,PO,8
8527,quiniDINE Sulfate,54868089801,PO/NG,8
8528,ribavirin,66435010142,PO,8
8529,selegiline,49502090030,TRANSDERMAL,8
8530,sodium bica,00409663734,IV,8
8531,sulfamethoxazole-trimethoprim,00703951401,IV,8
8532,tacrolimus,55111052501,ORAL,8
8533,testosterone,00051845030,TD,8
8534,testosterone,00051845030,TRANSDERMAL,8
8535,travoprost,54868596800,OD,8
8536,triamcinolone acetonide,51672126705,TP,8
8537,vancomycin,63323031461,ORAL,8
8538,vortioxetine,64764075030,ORAL,8
8539,*NF* Micafungin,00469325010,IJ,7
8540,0.9% Sodium Chloride,00338004911,PB,7
8541,ALPRAZolam,51079079001,PO,7
8542,ALPRAZolam,51079079020,SL,7
8543,AMOXicillin Oral Susp.,00781604146,PO/NG,7
8544,ARIPiprazole,13811068030,PO,7
8545,ARIPiprazole,54838057059,PO/NG,7
8546,AcetaZOLamide,51672402301,IV,7
8547,AcetaZOLamide,51285075402,PO,7
8548,Acetaminophen,00904673061,NG,7
8549,Acetaminophen,00904525530,PO,7
8550,Acetaminophen,45802073032,PO/NG,7
8551,Acetylcysteine 20%,00087057009,PO/NG,7
8552,Albendazole,00007550040,PO/NG,7
8553,Albumin,44206031050,IV,7
8554,Albumin 25%,67467064301,IV,7
8555,Aldara,00089061012,TP,7
8556,Alemtuzumab,00409798355,SC,7
8557,Alteplase,50242004164,INTRA-ARTERIALLY,7
8558,Alteplase 1mg/1mL ( Clearance ie. Temp TLCL ),50242004413,IVT,7
8559,Aminocaproic,61748004416,PO,7
8560,Aminocaproic Acid,00409434610,PO/NG,7
8561,Aminocaproic Acid,61748004416,TP,7
8562,Aminocaproic Acid,00409434610,TP,7
8563,Ammonium Lactate,00245002322,TP,7
8564,Amphetamine Salt Combo,64720013010,ORAL,7
8565,Ampicillin,00904401408,PO,7
8566,Ampicillin Sodium,00015740420,IV,7
8567,Ampicillin Sodium,63323038810,LOCK,7
8568,Asacol HD,00430078327,ORAL,7
8569,Ascorbic Acid (Liquid),00074349201,PO/NG,7
8570,Aspirin ,68016001129,PO,7
8571,Aspirin 325mg,00904404073,PO,7
8572,Aspirin 81 mg ,00904404073,PO,7
8573,Atomoxetine,00002322930,ORAL,7
8574,Atropine Sulfate Ophth 1%,00998030315,SL,7
8575,AveLOX,00085173302,ORAL,7
8576,Azithromycin,00904670806,PO,7
8577,Baclofen,58281056001,IT,7
8578,Baclofen Intrathecal,58281056301,IT,7
8579,Balanced Salt Opth. Soln,00065079515,OU,7
8580,Brentuximab Vedotin,51144005001,IV,7
8581,BuPROP,00591083960,PO,7
8582,Budesonide,54569592800,IH,7
8583,Bupivacaine 0.25%-Epinephrine,00409904202,SC,7
8584,Butalbital-Acetaminophen-Caff,00143178701,ORAL,7
8585,Calcipotriene 0.005% Cream,66993087761,TP,7
8586,Calcium Chloride,76329330401,IV,7
8587,Captopril,49884079474,NG,7
8588,Carbamazepine,00083006130,PO/NG,7
8589,Carnitor,64980013009,ORAL,7
8590,Carvedilol,51079093120,NG,7
8591,Caspofungin *NF*,00006382310,IV,7
8592,CeFAZolin,71019003102,IV,7
8593,CefTAZidime Desensitization,10019069102,IV,7
8594,CefTRIAXone,00409733701,IM,7
8595,CefePIME,25021012120,IM,7
8596,CeftriaXONE,00781320695,IV,7
8597,Chlorambucil,00173063535,PO,7
8598,Chloroprocaine 3% MPF,63323047820,SC,7
8599,Ciprofloxacin,00409477886,LOCK,7
8600,Ciprofloxacin HCl,55111029209,PO,7
8601,Citracal + D Maximum,16500053504,ORAL,7
8602,Cladribine,63323014010,IV,7
8603,Clindamycin,25021011504,PB,7
8604,Clindamycin,00904595961,PO,7
8605,Clofarabine,58468010001,IV,7
8606,Crinone,52544028324,VG,7
8607,Critic-Aid,11701005032,TP,7
8608,Critic-Aid Clear,11701005032,TP,7
8609,Cyanocobalamin,87701071218,NG,7
8610,Cyanocobalamin,50268085415,NG,7
8611,Cyanocobalamin,41163023154,PO,7
8612,CycloPHOSPHAMIDE,00781324494,IV,7
8613,Cyclopentolate 1%,00065039602,RIGHT EYE,7
8614,Cyclophosphamide,00015050541,PB,7
8615,D10W,00409793009,IV DRIP,7
8616,D5W,00338001731,IV BOLUS,7
8617,Dacarbazine,00026815120,PB,7
8618,Denosumab (Prolia),55513071001,SC,7
8619,Dexamethaso,00054817625,PO,7
8620,Dexamethasone,00054317644,PO,7
8621,Dexamethasone,60432046608,PO/NG,7
8622,Dexamethasone Ophthalmic Soln 0.1%,00998061505,RIGHT EYE,7
8623,Dexmedetomidine,00409163802,PB,7
8624,Dextroamphetamine,00555097102,PO,7
8625,Diazepam,00172392560,PO,7
8626,Didanosine EC,00555058901,PO,7
8627,Digoxin,00054819216,NG,7
8628,Digoxin,00904592161,PO,7
8629,Dilantin Extended,00071036940,ORAL,7
8630,Diltiazem,00258368790,PO/NG,7
8631,Diltiazem Extended-Release,00258368790,ORAL,7
8632,Divalproex (DELayed Release),00074611411,PO,7
8633,Docusa,00121054410,NG,7
8634,Docusate Sodiu,00121054410,PO,7
8635,Docusate Sodium (Liquid),00121054410,J TUBE,7
8636,Donepezil,00904647861,PO/NG,7
8637,Dornase Alfa,50242010040,PL,7
8638,Doxil,17314960001,IV,7
8639,Enoxaparin,00075062160,SC,7
8640,Enoxaparin,00075801601,SC,7
8641,Envarsus XR,68992307503,ORAL,7
8642,Epinephrine,00409492134,IV,7
8643,Epoetin Alfa,59676032004,SC,7
8644,Esmolol,67457018210,IV,7
8645,Esmolol,10019012001,IV BOLUS,7
8646,Esmolol,67457018210,IV DRIP,7
8647,Ethacrynic Acid,00006006568,PO/NG,7
8648,Exjade,00078047015,ORAL,7
8649,Famotidine (IV),00641602110,IV,7
8650,Famotidine (IV),10019004603,IV,7
8651,Fentanyl Citrate,00641603001,IV,7
8652,Filgrastim-sndz,61314030401,IV,7
8653,Flovent HFA,00173071920,IH,7
8654,Fluconazole,00703102030,PB,7
8655,Fluocinolone Acetonide 0.01% Cream,52565003115,TP,7
8656,Furosemide,00182116189,NG,7
8657,Furosemide-Heart Failure,63323028002,IV,7
8658,Gabapentin,68084007965,NG,7
8659,Gamunex-C 10%,13533080071,IV,7
8660,Gentamicin 0.3% Ophth. Ointment,17478028435,LEFT EYE,7
8661,Gentamicin 0.3% Ophth. Ointment,17478028435,RIGHT EYE,7
8662,Gentamicin 0.3% Ophth. Soln,60758018805,LEFT EYE,7
8663,Glucagon,00597026010,IV DRIP,7
8664,Guaifenesin,00121177505,PO/NG,7
8665,HYDROmorphone (Dilaudid),42858030416,PO,7
8666,HYDROmorphone (Dilaudid),63739027510,PO,7
8667,Haloperidol,00781139313,NG,7
8668,Haloperidol Decanoate (long acting),00703702103,IM,7
8669,Heparin (For IP Use),63323054011,IP,7
8670,Heparin Flush (10 units/ml),64253033335,IV,7
8671,Humalog,00002751001,SUBCUT,7
8672,HydrALAzine,49884002901,IV,7
8673,Hydroxyprogesterone caproate,66993003883,IM,7
8674,Hydroxyprogesterone caproate *NF*,64011024301,IM,7
8675,Hydroxyurea,68084028401,NG,7
8676,Hydroxyurea Suspension,68084028401,OG,7
8677,INV-CoQ10 300mg,14654084868,PO,7
8678,INV-Vorinostat,00006056840,PO,7
8679,Imodium A-D,50580029304,ORAL,7
8680,Indomethacin,00185072001,PO,7
8681,Indomethacin,42211010243,PR,7
8682,Influenza Virus Vaccine *Latex Free*,33332001101,IM,7
8683,Influenza Virus Vaccine *Latex Free*,33332001001,IM,7
8684,Irinotecan,63323019355,IV,7
8685,Isordil,00781155613,ORAL,7
8686,Isosorbide ,62175011937,PO,7
8687,Isosorbide ,00228263111,PO,7
8688,Ketamine,00143950910,IV,7
8689,LORazepam,00904600861,SL,7
8690,LaMIVudine,00173047100,NG,7
8691,LaMOTrigine,00093046301,NG,7
8692,LaMOTrigine,00173052600,PO,7
8693,Labetalol,00185001001,NG,7
8694,Latanoprost 0.005% Ophth. Soln.,24208046325,RIGHT EYE,7
8695,Lenalidomide,59572041521,PO,7
8696,LevOCARNitine,54482014407,PO,7
8697,LevoCARNitine,54482014701,IV,7
8698,Levofloxacin,00904635361,NG,7
8699,Lidocaine 1% P.F.,00409427001,INTRALESIONAL,7
8700,Liothyronine Sodium,39822015101,IV,7
8701,Lithium ,00054002125,PO,7
8702,Lithium ,54868255700,PO,7
8703,Lumigan,00023918703,LEFT EYE,7
8704,Mannitol,00338035703,IV,7
8705,Melphalan,45963068602,IV,7
8706,Meropenem,63323050830,IP,7
8707,Mesna,00015356302,IV,7
8708,Mesna,55390004501,PB,7
8709,Methocarbamol,00603448521,PO,7
8710,Methotrexate Sodium P.F.,00143951910,IT,7
8711,Methotrexate Sodium P.F.,67457022102,SC,7
8712,MethylPHENIDATE (Ritalin),68084080521,PO/NG,7
8713,Methylene Blue 1%,00517031010,IV,7
8714,Methylprednisolone,66993084225,ORAL,7
8715,Metoclopramide,66689003150,NG,7
8716,Metoprolol Tartrate,00378001805,NG,7
8717,Milk Of Magnesia,00121043130,PO,7
8718,Mirtazapine,00904651961,PO,7
8719,Morphine ,00054858516,PO,7
8720,Morphine Sulfate,00409189301,IV,7
8721,Multivitamins,16500008806,PO,7
8722,Multivitamins W/minerals Liquid,00904504260,PO/NG,7
8723,Mupirocin ,45802011222,NU,7
8724,NIFEdipine,00591319301,PO,7
8725,NORepinephrine,00409337504,IV,7
8726,NS (Excel),00264780010,IV,7
8727,NS (Excel),00264780010,PB,7
8728,NS (Irrigation Bottle),00338004802,IR,7
8729,NS (Irrigation Bottle),00338004802,IRR,7
8730,NS Epidural Bag (0.9% NaCl),00338004902,PERIPHNERVE,7
8731,Naloxone,00548146900,NG,7
8732,Nasonex,00009770901,NU,7
8733,Nelarabine (NF),00007440106,IV BOLUS,7
8734,Neomycin/Polymyxin/Dexameth Ophth Susp.,24208083060,BOTH EYES,7
8735,NiCARdipine IV,00703831503,IV DRIP,7
8736,NiMODipine,24338020016,NG,7
8737,NiMODipine,68084091231,PO/NG,7
8738,Niac,00536407701,PO,7
8739,Nicotrol,00009540001,INHALATION,7
8740,Nimodipine,23155010800,PO/NG,7
8741,Nystat,00472500360,PO/NG,7
8742,Nystatin Oral,00472132002,PO,7
8743,Nystatin Oral Susp (Self Med),00472132002,PO,7
8744,Omegaven 10% Emulsion,63323020500,IV,7
8745,Ondans,00781523864,PO/NG,7
8746,Ondansetron,00781523864,PO,7
8747,Ondansetron,68462015713,PO/NG,7
8748,Oxandrolone,00185027101,ORAL,7
8749,OxycoDONE (Concentrated Oral Soln),66689002530,PO/NG,7
8750,OxycoDONE Liquid,00406055262,PO,7
8751,Oxycodone-Acetaminophen,00406051262,NG,7
8752,Oxytocin,42023011625,IV DRIP,7
8753,PEMEtrexed,00002762301,IV,7
8754,PENTObarbital Sodium,67386050155,IV,7
8755,PHENOb,00641047625,IV,7
8756,PHENObarbital - ICU Alcohol Withdrawal (Loading Dose 1) ,00641047625,IM,7
8757,Pantoprazole (Granules for DR Suspension),00904647461,PO/NG,7
8758,Papaverine HCl,10135019710,PO,7
8759,Penicillin V Potassium,00781120501,PO/NG,7
8760,Phenylephrine 2.5 % Ophth Soln,17478020102,BOTH EYES,7
8761,Phenytoin Sodium,00143988125,PB,7
8762,PhosLo,68084047901,ORAL,7
8763,Phytona,00409915801,IV,7
8764,Phytonadione,00409915701,NG,7
8765,Polymyxin B -Trimethoprim Ophth Soln,60758090810,RIGHT EYE,7
8766,Potassium Chloride,00338070948,IP,7
8767,Potassium Chloride,00603154358,PO,7
8768,Potassium Chloride (Powder),00245004101,PO,7
8769,Potassium Chloride (Powder),66758016013,PO,7
8770,Potassium Citrate,00178061001,ORAL,7
8771,Povidone Iodine 10%,67618015001,TP,7
8772,Pramipexole,00597019061,ORAL,7
8773,Probenecid,00591534701,PO,7
8774,Prochlorperazine Maleate,51079054220,PO,7
8775,Propafenone HCl,00074173214,PO/NG,7
8776,Propecia,00006007131,ORAL,7
8777,Propofol,63323026920,IV,7
8778,Propranolol,60687029501,PO/NG,7
8779,Pyridoxine,77333094010,PO,7
8780,QUEtiapine Fumarate,60687033801,PO,7
8781,Quinupristin/Dalfopristin,00075905110,IV,7
8782,Qvar,59310020412,IH,7
8783,RITUXimab Desensitization,50242005306,IV,7
8784,Rabies Immune Globulin,13533061810,IM,7
8785,Raltegravir,00006022761,ORAL,7
8786,Ramelteon,64764080510,NG,7
8787,Ranitidine,00121472710,PO/NG,7
8788,Renagel,58468002001,ORAL,7
8789,RiTONAvir,00074194063,NG,7
8790,Rifampin,67457044560,IV,7
8791,Risperidone Oral Solution,50458030503,PO/NG,7
8792,Ritonavir (Oral Solution),00074194063,NG,7
8793,Rocaltrol,30698014301,ORAL,7
8794,Rocuronium,63323042610,IV,7
8795,Ropivacaine 0.2%,63323028565,ED,7
8796,Ropivacaine 0.2%,63323028565,PERIPHNERVE,7
8797,Secretin,67066000601,IV,7
8798,Sertraline,68180035209,PO,7
8799,Silver Sulfadiazine 1% Cream,67877012405,TP,7
8800,Simethicone,00536222075,NG,7
8801,Simethicone,00536222075,PO,7
8802,Sodium Acetate,00409729973,IV,7
8803,Sodium Chloride,00517293025,IV DRIP,7
8804,Sonata,00008092681,ORAL,7
8805,Spiriva with HandiHaler,00597007575,INHALATION,7
8806,Sulfameth/Trimethoprim,00904272561,PO/NG,7
8807,Sumatriptan Succinate,00173045900,ORAL,7
8808,Syringe,08290002191,IVT,7
8809,Syringe (Intrapleural),08290003528,IP,7
8810,Tacrolimus (Self Med),00469060773,PO,7
8811,Tegretol,00083002730,ORAL,7
8812,Tenofovir Disoproxil Fum.,61958040101,PO,7
8813,Terconazole 0.4% Vag. Cream,51672130406,VG,7
8814,Testosterone,52544007660,TD,7
8815,TheraTears Gel 1%,58790000228,BOTH EYES,7
8816,Thiamine,00536467801,PO,7
8817,Topamax,00045064165,ORAL,7
8818,Tranexamic Acid Oral Solution,39822100001,PO/NG,7
8819,Travatan,00065026625,OD,7
8820,Trintellix,64764072030,ORAL,7
8821,Trizivir,49702021718,ORAL,7
8822,Tropicamide 1 %,24208058564,RIGHT EYE,7
8823,Urea,58980061030,TP,7
8824,Valproic Acid,00074568216,NG,7
8825,Vancomycin Desensitization,63323031461,ORAL,7
8826,Vancomycin Oral Liquid,00409651001,NG,7
8827,Varicella Virus,00006482700,IM,7
8828,Vasopressin,42023016425,IV,7
8829,Venlafaxine,00093738201,NG,7
8830,Verapamil,00172428010,PO,7
8831,Victoza 3-Pak,00169406012,SC,7
8832,VinBLAStine,55390009110,IV,7
8833,Vitamin D,00904582460,ORAL,7
8834,Vivelle-Dot,00078034445,TD,7
8835,Xopenex Neb,00093414664,IH,7
8836,ZEMplar,00074165801,ORAL,7
8837,Zanamivir,00173068101,IH,7
8838,adalimumab,00074379902,SC,7
8839,amLODIPine,68084025901,NG,7
8840,brinzolamide,00065027510,OD,7
8841,butalbital-acetaminophen-caff,68084039665,ORAL,7
8842,cariprazine,61874011520,ORAL,7
8843,cephALEXin,00143989701,ORAL,7
8844,dabigatran etexilate,00597010760,ORAL,7
8845,docusate sodium,57896042101,ORAL,7
8846,edrophonium chloride,67457019015,IV,7
