,drugname,routeadmin,count
4370,piperacillin-tazobactam,IV,13
4371,ASPIRIN,PEG,13
4372,AMLODIPINE BESYLATE 10 MG PO TABS,PEG TUBE,13
4373,PREDNISONE 5 MG PO TABS,PER G TUBE,13
4374,METOPROLOL TARTRATE,PEG TUBE,13
4375,LORATADINE 10 MG PO TABS,PER NG TUBE,13
4376,SPIRONOLACTONE,GASTRIC TU,13
4377,POTASSIUM PHOSPHATE,PEG TUBE,13
4378,diphenhydrAMINE,Swish,13
4379,heparin,IntraLumenal,12
4380,LORAZEPAM,SEE CHART,12
4381,FUROSEMIDE,NG,12
4382,clonazePAM,ZPYXVEND,12
4383,omeprazole,ZPYXVEND,12
4384,CLOPIDOGREL,.ROUTE,12
4385,HYDROmorphone,ZPYXVEND,12
4386,acetaminophen,J-tube,12
4387,PREDNISONE 20 MG PO TABS,Per G Tube,12
4388,LISINOPRIL 2.5 MG PO TABS,PER NG TUBE,12
4389,DOCUSATE SODIUM 100 MG CAP,FT,12
4390,OXYCODONE HCL 5 MG PO TABS,PER G TUBE,12
4391,TRAMADOL HCL 50 MG PO TABS,Per J Tube,12
4392,VITAMIN D 1000 UNITS PO TABS,PER G TUBE,12
4393,WARFARIN SODIUM 1 MG PO TABS,PEG TUBE,12
4394,AMLODIPINE BESYLATE 5 MG PO TABS,PEG TUBE,12
4395,LACTULOSE 20 GRAM/30 ML ORAL SOLN,OG- OralGast,12
4396,METOPROLOL TARTRATE 25 MG PO TABS,PER TUBE,12
4397,ATORVASTATIN CALCIUM 10 MG PO TABS,Per NG tube,12
4398,POTASSIUM CHLORIDE 2 MEQ/ML IV SOLN,CRRT,12
4399,30 ML  -  LACTULOSE 10 GM/15ML PO SOLN,PER J TUBE,12
4400,CALCIUM CARBONATE ANTACID 500 MG PO CHEW,PER NG TUBE,12
4401,POLYETHYLENE GLYCOL 3350 17 GRAM ORAL PWPK,G-tube (Gast,12
4402,DIGOXIN,INTRAVENOUS,12
4403,sennosides (SENOKOT) oral syrup 10 mL,JTUBE,12
4404,SENOKOT-S TAB,NG,12
4405,PHYTONADIONE,SUBCUTAN,12
4406,ASPIRIN,ORAL GASTR,12
4407,aspirin,DEVICE,12
4408,aspirin chew tab 81 mg,GTUBE,12
4409,ASPIRIN 81 MG CHEWABLE TABLET,Gtub,12
4410,POLYETHYLENE GLYCOL 3350 PO PACK,Per J Tube,12
4411,FAMOTIDINE,INJ,12
4412,GLUCOSE,PO (oral)                                                                                           ,12
4413,METOPROLOL TARTRATE,PEG-TUBE,12
4414,KETOROLAC 30 MG/ML 1ML SDV INJ,IM,12
4415,metroNIDAZOLE,Feeding Tube,12
4416,PREDNISONE,G-TUBE,12
4417,1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,Intercatheter,12
4418,HYDROCHLOROTHIAZIDE 25 MG PO TABS,Nasogastric Tube,12
4419,Tylenol,NG,12
4420,ACETAMINOPHEN 500 MG PO TABS,Dobhoff Tube,12
4421,FUROSEMIDE,ORAL/TUBE,12
4422,FUROSEMIDE,ORAL GASTR,12
4423,DIAZEPAM,IVP,12
4424,BUMETANIDE,DEVICE,12
4425,AMIODARONE,IVDRIP,12
4426,amiodarone,PEG TUBE,12
4427,SPIRONOLACTONE,PO (oral)                                                                                           ,12
4428,HYDRALAZINE HCL 25 MG PO TABS,PER G TUBE,12
4429,NORVASC,PEG,12
4430,amLODIPine,ORAL GASTR,12
4431,METOCLOPRAMIDE,PEG,12
4432,cloNIDine,TRANSDERM.,12
4433,cloNIDine,ORAL GASTR,12
4434,lactulose,Tube,12
4435,DIPHENHYDRAMINE HCL,IM,12
4436,LISINOPRIL 5 MG TAB,FT,12
4437,glucagon,Subcutan,12
4438,glucagon hcl (rdna) 1 mg ij solr,IV,12
4439,IOPAMIDOL,PO,12
4440,1 ML SYRINGE : MORPHINE SULFATE (PF) 4 MG/ML IV SOLN,IM,12
4441,nitroGLYCERIN,TD,12
4442,HYDROmorphone (DILAUDID) 1 MG/ML inj 0.5 mg,IV,12
4443,SODIUM CHLORIDE 0.9%,IRRIGATION,12
4444,HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,PER G TUBE,12
4445,lidocaine,Subcutaneous,12
4446,lidocaine,Topical (Top),12
4447,PROPOFOL,IV (intravenous)                                                                                    ,12
4448,GLYCOPYRROLATE,INJ,12
4449,Ativan,SL,12
4450,LORAZEPAM,NG,12
4451,ALTEPLASE   2 MG INJ RECON SOLN,Miscellaneou,12
4452,"HEPARIN (PORCINE) 1,000 UNIT/ML INJECTION : 10 ML VIAL",See Instruct,12
4453,WARFARIN 5 MG TAB,FT,12
4454,FOLIC ACID 1 MG PO TABS,Dobhoff Tube,12
4455,AMIODARONE HCL 200 MG PO TABS,Per G Tube,12
4456,FAMOTIDINE,PO/NG,12
4457,DECADRON,Inhalation,12
4458,AMLODIPINE BESYLATE 10 MG PO TABS,Per G Tube,12
4459,LORAZEPAM INJ,INJ,12
4460,gabapentin,MISC,12
4461,FUROSEMIDE 20 MG TAB,FT,12
4462,Colace,PegTube,12
4463,lidocaine,Swish,12
4464,CARVEDILOL 3.125 MG PO TABS,PER G TUBE,12
4465,XANAX,ND,11
4466,oxyCODONE,G-Tube,11
4467,PHENYLEPHRINE,IV CONT,11
4468,ESOMEPRAZOLE INJ,.ROUTE,11
4469,CALCIUM CARBONATE,ZPYXVEND,11
4470,"INSULIN REGULAR, HUMAN",COSIG IV,11
4471,LISINOPRIL 5 MG PO TABS,PEG TUBE,11
4472,FUROSEMIDE 20 MG PO TABS,PEG TUBE,11
4473,PREDNISONE 10 MG PO TABS,Per NG tube,11
4474,PREDNISONE 10 MG PO TABS,Per G Tube,11
4475,PREDNISONE 20 MG PO TABS,Per NG tube,11
4476,POTASSIUM CHLORIDE TAB CR,.ROUTE,11
4477,VITAMINS/MINERALS PO TABS,PER G TUBE,11
4478,ALPRAZOLAM 0.25 MG PO TABS,Per G Tube,11
4479,CARVEDILOL 3.125 MG PO TABS,PEG TUBE,11
4480,CLONIDINE HCL 0.1 MG PO TABS,PEG TUBE,11
4481,30 ML  -  IOPAMIDOL 61 % IV SOLN,IA,11
4482,metoprolol tartrate 25 mg po tabs,per OG tube,11
4483,ATORVASTATIN CALCIUM 20 MG PO TABS,PER TUBE,11
4484,METOPROLOL TARTRATE  25 MG ORAL TAB,OG- OralGast,11
4485,POLYETHYLENE GLYCOL 3350 17 GRAM ORAL PWPK,OG- OralGast,11
4486,HYDROCODONE-ACETAMINOPHEN 10-325 MG PO TABS,PER G TUBE,11
4487,HYDROCODONE-ACETAMINOPHEN 10-325 MG PO TABS,PER NG TUBE,11
4488,1 ML VIAL : HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,IK,11
4489,1 EACH PACKAGE CUSTOM NDC : METOPROLOL TARTRATE 12.5 MG PO TABS (HALF-TAB),PER G TUBE,11
4490,sennosides (SENOKOT) oral syrup 10 mL,GTUBE,11
4491,sodium bicarbonate,Tube,11
4492,sodium bicarbonate,IVP,11
4493,FAMOTIDINE,IVP,11
4494,ETOMIDATE,INJ,11
4495,albuterol sulfate (PROVENTIL) (2.5 MG/3ML) 0.083% inhalation solution 2.5 mg,IPPB,11
4496,sodium chloride,Feeding Tube,11
4497,ASPIRIN (CHEWABLE),OG,11
4498,INSULIN ASPART,SC,11
4499,POTASSIUM CHLORIDE,NASOGASTRI,11
4500,POTASSIUM CHLORIDE TAB CR,PO/NG,11
4501,QUEtiapine,Feeding Tube,11
4502,fentaNYL,EPIDURAL Injection,11
4503,DOCUSATE SODIUM,PR,11
4504,DOCUSATE SODIUM,OG,11
4505,MAGNESIUM HYDROXIDE,G-TUBE,11
4506,THIAMINE HCL 100 MG/ML IJ SOLN,PERIPH IV,11
4507,metoPROLOL,J-tube,11
4508,METOPROLOL TARTRATE 50 MG TAB,GTUBE,11
4509,ONDANSETRON 2 MG/1 ML 2ML SDV INJ,PO,11
4510,PREDNISONE 10 MG PO TABS,NGT,11
4511,SODIUM CHLORIDE 0.9 % IV SOLN,Other,11
4512,SODIUM CHLORIDE 0.9% 250 ML LVP,IVPB,11
4513,HYDROCHLOROTHIAZIDE,TUBE,11
4514,VANCOMYCIN,IV (intravenous)                                                                                    ,11
4515,acetaminophen (TYLENOL) tab 650 mg,PEGTUBE,11
4516,20.3 ML CUP : ACETAMINOPHEN 160 MG/5ML PO SOLN,Per G Tube,11
4517,FUROSEMIDE 20 MG PO TABS,Per G Tube,11
4518,DIAZEPAM,INTRAMUSCU,11
4519,CITALOPRAM,ORAL/TUBE,11
4520,AMIODARONE HCL 150 MG/3ML IV SOLN,CENTRAL IV,11
4521,SPIRONOLACTONE,ORAL/TUBE,11
4522,AMLODIPINE BESYLATE,NG,11
4523,AMLODIPINE BESYLATE 10 MG PO TABS,Gastric Tube (PEG),11
4524,LEVAQUIN,G Tube,11
4525,MAGNESIUM SULFATE,IV (injection)                                                                                      ,11
4526,METOCLOPRAMIDE,PO,11
4527,KLONOPIN,G Tube,11
4528,CLONAZEPAM,NG,11
4529,cloNIDine,DEVICE,11
4530,CLONIDINE HCL,G-TUBE,11
4531,LACTULOSE,PEG TUBE,11
4532,LACTULOSE 20 GRAM/30 ML UD LIQ,GTUBE,11
4533,TRAZODONE HCL 50 MG PO TABS,Gastric Tube (PEG),11
4534,ATORVASTATIN,NASOGASTRI,11
4535,HALOPERIDOL,GASTRIC TU,11
4536,GABAPENTIN,ORAL/TUBE,11
4537,Benadryl,IM,11
4538,DIPHENHYDRAMINE HCL,PO (oral)                                                                                           ,11
4539,diphenhydrAMINE 50 MG/1 ML 1 ML INJ,IVPB,11
4540,LISINOPRIL 20 MG TAB,NG,11
4541,CALCIUM CARBONATE,.ROUTE,11
4542,cefTRIAXone,DEVICE,11
4543,50 ML VIAL : DEXTROSE 50 % IV SOLN,Intravenous,11
4544,MORPHINE,ORAL/TUBE,11
4545,MORPHINE SULFATE,ORAL,11
4546,nitroglycerin,DEVICE,11
4547,HYDROmorphone,INTRAVENOU,11
4548,HYDROmorphone,IVP,11
4549,1 ML CRTRDG-NDL : HYDROMORPHONE HCL PF 1 MG/ML IJ SOLN,IM,11
4550,ONDANSETRON HCL 4 MG TABLET,PER G TUBE,11
4551,famotidine 20 mg po tabs,PER NG TUBE,11
4552,oxyCODONE,NG or OG,11
4553,GLYCOPYRROLATE,GASTRIC TU,11
4554,LORazepam,Feeding Tube,11
4555,LORAZEPAM INJ,SUB-Q,11
4556,LORazepam 0.5 MG TAB,FT,11
4557,PROMETHAZINE HCL,IV (injection)                                                                                      ,11
4558,alteplase (CATHFLO ACTIVASE) inj 2 mg,IV,11
4559,PANTOPRAZOLE,PEG-TUBE,11
4560,THIAMINE,PO,11
4561,FUROSEMIDE,PEG,11
4562,TRAZODONE,PEG,11
4563,DIPHENHYDRAMINE HCL,IV (injection)                                                                                      ,11
4564,metoprolol (LOPRESSOR) tab 12.5 mg,PEGTUBE,11
4565,FLAGYL,NG,11
4566,CATAPRES,Sublingual,11
4567,SODIUM PHOSPHATE,RTL,11
4568,MAGNESIUM OXIDE 400 (241.3 MG) MG PO TABS,PER NG TUBE,11
4569,lactulose,PR,11
4570,warfarin,Feeding Tube,11
4571,docusate,NG-tube,11
4572,SODIUM CHLORIDE 0.9% 1000 ML PB,IVPB,11
4573,QUETIAPINE FUMARATE 25 MG PO TABS,Per G Tube,11
4574,100 ML GLASS CONT : IOPAMIDOL 61 % IV SOLN,Intra-arterial,11
4575,ALTEPLASE 2 MG IJ SOLR,IT,11
4576,OXYCODONE-ACETAMINOPHEN 5-325 MG PO TABS,PER G TUBE,11
4577,WARFARIN SODIUM 7.5 MG PO TABS,PER G TUBE,11
4578,ASPIRIN,OG,11
4579,METRONIDAZOLE 500 MG PO TABS,Nasogastric Tube,11
4580,BACITRACIN,TOPL,11
4581,VANCOMYCIN HCL 1000 MG IV SOLR,Irrigation,11
4582,CARVEdilol 3.125 MG TAB,FT,11
4583,amLODIPine 5 MG TAB,NG,11
4584,folic acid,Tube,11
4585,PERCOCET,G Tube,11
4586,LEVOTHYROXINE SODIUM 100 MCG PO TABS,PEG TUBE,11
4587,DIGOXIN,ZPYXVEND,10
4588,traZODone,ZPYXVEND,10
4589,INSULIN ASPART,.ROUTE,10
4590,ZOLPIDEM TARTRATE,.ROUTE,10
4591,LORAZEPAM 1 MG PO TABS,PER TUBE,10
4592,FOLIC ACID 1 MG PO TABS,Per G Tube,10
4593,CLONAZEPAM 0.5 MG PO TABS,PEG TUBE,10
4594,CARVEDILOL 12.5 MG PO TABS,PER TUBE,10
4595,LEVOFLOXACIN 750 MG PO TABS,PER NG TUBE,10
4596,TAMSULOSIN HCL 0.4 MG PO CAPS,PEG TUBE,10
4597,MUPIROCIN 2 % OINT 1 G SYRINGE,TP,10
4598,MAGNESIUM OXIDE 400 MG ORAL TAB,NG- NasoGast,10
4599,METOPROLOL TARTRATE  25 MG ORAL TAB,G/J tube,10
4600,SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG PO TABS,Per G Tube,10
4601,POLYETHYLENE GLYCOL 3350 17 GRAM ORAL POWDER PACKET,PER G TUBE,10
4602,1 ML  -  HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,IK,10
4603,DOPamine,IV,10
4604,POTASSIUM & SODIUM PHOSPHATES 280-160-250 MG PO PACK,NG,10
4605,albuterol,IV,10
4606,ASPIRIN,ND,10
4607,ASPIRIN,PO/NG,10
4608,ASPIRIN (CHEWABLE),PEG,10
4609,10 ML VIAL: INSULIN ASPART 100 UNIT/ML SC SOLN,IV,10
4610,MIRALAX,PEG,10
4611,MIDODRINE HCL 5 MG PO TABS,Nasogastric Tube,10
4612,FENTANYL,TRANSDERM.,10
4613,GLUCOSE-VITAMIN C 4-0.006 G PO CHEW,Dobhoff Tube,10
4614,FENTANYL,ED,10
4615,COLACE,PO (oral)                                                                                           ,10
4616,docusate,PO or NG,10
4617,docusate,MISC,10
4618,DOCUSATE SODIUM,PEG,10
4619,docusate sodium,Tube,10
4620,TRANDATE,Per enteric tube (oral)                                                                             ,10
4621,30 ML CUP : MAGNESIUM HYDROXIDE 400 MG/5ML PO SUSP,Per G Tube,10
4622,metoPROLOL,PEG-tube,10
4623,metoPROLOL,PO or NG,10
4624,METOPROLOL TARTRATE 50 MG TAB,PEG,10
4625,metoprolol (LOPRESSOR) tab 25 mg,GTUBE,10
4626,KETOROLAC TROMETHAMINE,DEVICE,10
4627,FLAGYL,G Tube,10
4628,metroNIDAZOLE,Tube,10
4629,1 ML VIAL : DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML IJ SOLN,PO,10
4630,ACETAMINOPHEN,PEG-TUBE,10
4631,ACETAMINOPHEN 500 MG PO TABS,Gastric Tube (PEG),10
4632,FUROSEMIDE,J TUBE,10
4633,FUROSEMIDE 10 MG/1 ML 2ML SDV INJ,PO,10
4634,VALIUM,NG Tube,10
4635,BUMETANIDE,IVP,10
4636,XANAX,PEG,10
4637,amiodarone,NG,10
4638,MIDAZOLAM,INTRAVENOUS,10
4639,AMLODIPINE,NG-TUBE,10
4640,LEVOFLOXACIN,GASTRIC TU,10
4641,MAGNESIUM OXIDE 400 MG TAB,PEG,10
4642,METOCLOPRAMIDE HCL,G-TUBE,10
4643,lactulose,MISC,10
4644,traZODone,Feeding Tube,10
4645,traZODone,J TUBE,10
4646,ATORVASTATIN 40 MG TABLET,PER NG TUBE,10
4647,traMADol,GASTRIC TU,10
4648,POTASSIUM PHOSPHATE,NASOGASTRI,10
4649,BENADRYL,NG Tube,10
4650,lisinopril,NG,10
4651,LISINOPRIL 10 MG PO TABS,Per NG tube,10
4652,1 EACH VIAL : CEFTRIAXONE SODIUM 1 G IJ SOLR,IM,10
4653,MORPHINE 2 MG/1 ML 1 ML SYR,IM,10
4654,1 ML VIAL : MORPHINE 5 MG/ML INJ SOLN,IM,10
4655,DILAUDID,G Tube,10
4656,HYDROMORPHONE HCL,ORAL/TUBE,10
4657,ZOLPIDEM TARTRATE 5 MG PO TABS,PER G TUBE,10
4658,SIMVASTATIN 40 MG PO TABS,Per NG tube,10
4659,famotidine 20 mg po tabs,PER G TUBE,10
4660,DILTIAZEM HCL,GT,10
4661,QUETIAPINE FUMARATE 25 MG PO TABS,Oral Gastric Tube,10
4662,Heparin (Porcine) in 1/2 NS,See Instruct,10
4663,LIDOCAINE 1%,MISCELL,10
4664,ENOXAPARIN,DEVICE,10
4665,vancomycin,PEG TUBE,10
4666,"VANCOMYCIN 1,000 MG IV SOLUTION : 1 EACH VIAL",Rectal,10
4667,oxyCODONE,Feeding Tube,10
4668,oxyCODONE 5 MG TAB,NG,10
4669,oxyCODONE (OXY IR) cap-tab 10 mg,PEGTUBE,10
4670,levETIRAcetam,PEG TUBE,10
4671,LEVETIRACETAM 500 MG PO TABS,Per NG tube,10
4672,FERROUS SULFATE 325 (65 FE) MG PO TABS,Nasogastric Tube,10
4673,CARVEDILOL 6.25 MG PO TABS,PER G TUBE,10
4674,CARVEDILOL 6.25 MG PO TABS,Dobhoff Tube,10
4675,GLYCOPYRROLATE,J TUBE,10
4676,ATIVAN,PEG,10
4677,LORazepam,Subcutaneous,10
4678,LORazepam,PO or NG,10
4679,HEPARIN SOD (PORCINE),SC,10
4680,HEPARIN 5000 UNIT/ML 1ML INJ,Intraperitoneal,10
4681,1 ML VIAL : HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,Subcutaneous,10
4682,SOLU-MEDROL,IV (injection)                                                                                      ,10
4683,CALCIUM CARBONATE ANTACID 500 MG PO CHEW,Nasogastric Tube,10
4684,ACETAMINOPHEN,IV (intravenous)                                                                                    ,10
4685,LIDOCAINE 10 MG/ML (1 %) INJECTION 20 ML VIAL,OTHER,10
4686,VANCOMYCIN,ORAL,10
4687,PHENERGAN,PO,10
4688,WARFARIN SODIUM 2 MG PO TABS,PEG TUBE,10
4689,FENTANYL,EPIDURAL,10
4690,PREDNISONE,GTUBE,10
4691,MULTIVITAMIN,PEG,10
4692,ZESTRIL,PEG,10
4693,LEVOTHYROXINE SODIUM 50 MCG PO TABS,PEG TUBE,10
4694,"HEPARIN 25,000 unit(s) in D5W 25",IVPB,10
4695,1 ml : hydromorphone hcl pf 1 mg/ml ij soln,IM,10
4696,vancomycin,Tube,10
4697,AMLODIPINE BESYLATE 5 MG PO TABS,Gastric Tube (PEG),10
4698,AMLODIPINE BESYLATE 10 MG PO TABS,Dobhoff Tube,10
4699,LEVOFLOXACIN,IV - brief infusion (intravenous)                                                                   ,10
4700,HYDROmorphone,Subcutaneous,10
4701,CARVEDILOL,PO/NG,10
4702,INSULIN-LISPRO (rDNA) *UNIT* INJ,IV Push,10
4703,amLODIPine 5 MG TAB,PEG,10
4704,ATORVASTATIN CALCIUM 80 MG PO TABS,PER G TUBE,10
4705,ONDANSETRON HCL 4 MG PO TABS,PER TUBE,10
4706,TRANDATE,ND,9
4707,BISACODYL,RE,9
4708,CITALOPRAM,PEG TUBE,9
4709,TAMSULOSIN,ZPYXVEND,9
4710,"HEPARIN 1,000 UNIT/ML",COSIG IV,9
4711,FOLIC ACID 1 MG PO TABS,Per NG tube,9
4712,FAMOTIDINE 20 MG PO TABS,PER TUBE,9
4713,LORAZEPAM 0.5 MG PO TABS,PER TUBE,9
4714,LORAZEPAM 0.5 MG PO TABS,PEG TUBE,9
4715,PREDNISONE 20 MG PO TABS,PER TUBE,9
4716,PREDNISONE 20 MG PO TABS,PEG TUBE,9
4717,ACETAMINOPHEN 500 MG PO TABS,PEG TUBE,9
4718,CLONIDINE HCL 0.1 MG PO TABS,PER TUBE,9
4719,METRONIDAZOLE 500 MG PO TABS,Per NG tube,9
4720,SERTRALINE HCL 50 MG PO TABS,PEG TUBE,9
4721,ASPIRIN   81 MG ORAL CHEW TAB,G-tube (Gast,9
4722,METOPROLOL TARTRATE 25 MG PO TABS,PER J TUBE,9
4723,METOPROLOL TARTRATE 50 MG PO TABS,PER J TUBE,9
4724,LEVOTHYROXINE SODIUM 75 MCG PO TABS,PEG TUBE,9
4725,POTASSIUM CHLORIDE  20 MEQ ORAL PACK,G-tube (Gast,9
4726,POLYETHYLENE GLYCOL 3350 17 GRAM ORAL PWPK,G/J tube,9
4727,K PHOS MONO-SOD PHOS DI & MONO 155-852-130 MG PO TABS,Per G Tube,9
4728,"INSULIN REGULAR, HUMAN",IV (injection)                                                                                      ,9
4729,EPINEPHrine,INTRAMUSCU,9
4730,LANOXIN,PEG,9
4731,SODIUM BICARBONATE 8.4 % IV SOLN,PERIPH IV,9
4732,PHYTONADIONE,ORAL GASTR,9
4733,ALBUTEROL SULFATE (5 MG/ML) 0.5% IN NEBU,NEBULIZER,9
4734,ASPIRIN 325MG TAB,PEG,9
4735,ASPIRIN 325 MG TABLET,PER G TUBE,9
4736,NYSTATIN,Topical (topical)                                                                                   ,9
4737,potassium chloride,OG-tube,9
4738,FOLIC ACID,INTRAVENOUS,9
4739,K PHOS MONO-SOD PHOS DI & MONO 155-852-130 MG PO TABS,Dobhoff Tube,9
4740,Colace,Feeding Tube,9
4741,DOCUSATE SODIUM,FT,9
4742,DOCUSATE SODIUM 50 MG/5ML PO LIQD,Jejunostomy Tube,9
4743,DOCUSATE SODIUM 50 MG/5ML PO LIQD,Gastric Tube (PEG),9
4744,10 ML CUP : DOCUSATE SODIUM 50 MG/5ML PO LIQD,Per J Tube,9
4745,THIAMINE HCL,G-TUBE,9
4746,METOPROLOL TARTRATE,TUBE,9
4747,METOPROLOL TARTRATE 25 MG TABLET,Gtub,9
4748,METOPROLOL TARTRATE 25 MG PO TABS,Per J Tube,9
4749,metoprolol (LOPRESSOR) tab 12.5 mg,JTUBE,9
4750,KETOROLAC INJ,INJ,9
4751,predniSONE 20 MG TAB,NG,9
4752,PREDNISONE 20 MG TABLET,PER NG TUBE,9
4753,PREDNISONE 10 MG PO TABS,Nasogastric Tube,9
4754,MULTIVITAMIN,PO (oral)                                                                                           ,9
4755,AMIODARONE HCL,IV - continuous infusion (intravenous)                                                              ,9
4756,AMIODARONE HCL 200 MG PO TABS,Dobhoff Tube,9
4757,AMIODARONE HCL 200 MG PO TABS,Nasogastric Tube,9
4758,AMLODIPINE BESYLATE,PO/NG,9
4759,LEVOFLOXACIN,PO (oral)                                                                                           ,9
4760,LEVOFLOXACIN 750 MG PO TABS,Per G Tube,9
4761,MAGNESIUM SULFATE 50 % IJ SOLN 2ML,IV,9
4762,KLONOPIN,PEG,9
4763,ONDANSETRON,PO (oral)                                                                                           ,9
4764,traZODone,MISC,9
4765,ATORVASTATIN 20 MG TAB,NG,9
4766,Haldol,IM/IV,9
4767,GABAPENTIN,PEG TUBE,9
4768,BENADRYL,G Tube,9
4769,diphenhydrAMINE 25 MG CAP,FT,9
4770,LISINOPRIL,PEG-TUBE,9
4771,CALCIUM CARBONATE,ORAL GASTR,9
4772,IBUPROFEN,DEVICE,9
4773,SODIUM POLYSTYRENE SULFONATE,OG-TUBE,9
4774,morPHINe,SL,9
4775,MORPHINE INJ,SUBQ,9
4776,Dilaudid,IV Push,9
4777,ONDANSETRON INJ,IM,9
4778,AZITHROMYCIN,IV (intravenous)                                                                                    ,9
4779,QUETIAPINE FUMARATE 25 MG PO TABS,PEGTUBE,9
4780,vancomycin,Feeding Tube,9
4781,PERCOCET 5/325 TAB,PEG,9
4782,PERCOCET 5/325 TAB,GTUBE,9
4783,OXYCODONE/APAP 5MG/325MG,ORAL/TUBE,9
4784,levETIRAcetam,ORAL GASTR,9
4785,LEVETIRACETAM 500 MG PO TABS,Oral Gastric Tube,9
4786,FERROUS SULFATE,ORAL/TUBE,9
4787,Coreg,NG or OG,9
4788,GLYCOPYRROLATE,TUBE,9
4789,PANTOPRAZOLE 40 MG INJ,PO,9
4790,HEPARIN,MISC,9
4791,heparin (porcine),Other,9
4792,ONDANSETRON HCL (PF) 4 MG/2 ML INJECTION 2 ML VIAL,IM,9
4793,LISINOPRIL 20 MG PO TABS,Per NG tube,9
4794,MAGNESIUM OXIDE 400 (241.3 MG) MG PO TABS,Per G Tube,9
4795,APRESOLINE,NG,9
4796,ATIVAN,NG,9
4797,AMLODIPINE 5 MG TABLET,PER G TUBE,9
4798,WARFARIN 5 MG TABLET,PER NG TUBE,9
4799,Flagyl,PegTube,9
4800,aspirin,NG or OG,9
4801,FUROSEMIDE 40 MG TAB,FT,9
4802,LISINOPRIL 10 MG TAB,NG,9
4803,POLYETHYLENE GLYCOL 3350 17 GRAM ORAL POWDER PACKET,Gtub,9
4804,clopidogrel,Tube,9
4805,SERTRALINE HCL 50 MG PO TABS,Per G Tube,9
4806,diphenhydrAMINE 50 MG/1 ML 1 ML INJ,PO,9
4807,levothyroxine,PegTube,9
4808,amiodarone,DEVICE,9
4809,enoxaparin,DEVICE,9
4810,TRAMADOL HCL 50 MG PO TABS,Per NG tube,9
4811,MAGNESIUM SULFATE 4 MEQ/ML (50 %) INJ SOLN,Central Line,9
4812,INSULIN HUMAN REGULAR,SQ,9
4813,PREDNISONE,.ROUTE,9
4814,SODIUM POLYSTYRENE SULFONATE,IV,9
4815,1 ML VIAL : HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,IP,9
4816,CLONAZEPAM 0.5 MG PO TABS,Gastric Tube (PEG),9
4817,metoprolol tartrate,Feeding Tube,9
4818,ZOCOR,G Tube,9
4819,METOPROLOL TARTRATE 50 MG PO TABS,Dobhoff Tube,9
4820,DIAZEPAM 5 MG PO TABS,Nasogastric Tube,9
4821,LEVAQUIN,NG Tube,9
4822,LORazepam,IM,9
4823,PROPOFOL,IV - continuous infusion (intravenous)                                                              ,9
4824,GLUCAGON,SUBCUT,9
4825,HALOPERIDOL 5 MG/1 ML 1 ML INJ,IMP,9
4826,METOPROLOL TARTRATE  25 MG ORAL TAB,Feeding Tube,9
4827,folic acid,MISC,9
4828,levETIRAcetam,J TUBE,9
4829,fentaNYL (PF) 50 MCG/1 ML 2 ML INJ,IVPB,9
4830,VALIUM,IM,9
4831,POTASSIUM & SODIUM PHOSPHATES 280-160-250 MG PO PACK,Per NG tube,9
4832,1 ML  : HYDROMORPHONE HCL PF 2 MG/ML IJ SOLN,Subcutaneous,9
4833,MAGNESIUM OXIDE,PO (oral)                                                                                           ,9
4834,ALPRAZolam,Feeding Tube,9
4835,MORPHINE SULFATE,INJ,9
4836,PROPOFOL,STK,8
4837,WARFARIN,ZPYXVEND,8
4838,BUMETANIDE,ZPYXVEND,8
4839,TACROLIMUS,ZPYXVEND,8
4840,KETOROLAC INJ,INFILTRATE,8
4841,levothyroxine,ZPYXVEND,8
4842,FERROUS SULFATE,NG,8
4843,LIDOCAINE HCL 2%,MUC_MEMB,8
4844,MORPHINE SULFATE,NG,8
4845,PREDNISONE 50 MG PO TABS,PER NG TUBE,8
4846,CARVEDILOL 12.5 MG PO TABS,Per NG tube,8
4847,LEVOFLOXACIN 500 MG PO TABS,PEG TUBE,8
4848,SPIRONOLACTONE 25 MG PO TABS,Per NG tube,8
4849,WARFARIN SODIUM 2.5 MG PO TABS,PEG TUBE,8
4850,"HEPARIN 25,000 unit(s) in D5W 25",IV Push,8
4851,potassium CHLORIDE 20 MEQ UD LIQ,JPEG,8
4852,HYDROCHLOROTHIAZIDE 25 MG PO TABS,PER NG TUBE,8
4853,LEVOTHYROXINE SODIUM 75 MCG PO TABS,PER TUBE,8
4854,2 ML  -  FENTANYL CITRATE 0.05 MG/ML IJ SOLN,EP,8
4855,POTASSIUM CHLORIDE 20 MEQ/15ML (10%) PO LIQD,Per J Tube,8
4856,"INSULIN REGULAR, HUMAN",Subcutaneous                                                                                        ,8
4857,EPINEPHrine,Intramuscular,8
4858,MULTIVITAMINS,.ROUTE,8
