,diagnosisstring,icd9code
2057,infectious diseases|systemic/other infections|bacteremia|abdominal source,"038.9, R78.81"
2058,neurologic|altered mental status / pain|drug withdrawal syndrome|narcotic,"292.0, F19.939"
2059,neurologic|altered mental status / pain|drug withdrawal syndrome|nicotine,F17.20
2060,neurologic|disorders of vasculature|stroke|hemorrhagic stroke|right sided,"432.9, I62.9"
2061,neurologic|infectious disease of nervous system|encephalitis|viral|herpes,"054.3, B00.4"
2062,neurologic|infectious disease of nervous system|meningitis|chronic|fungal,"321.1, 117.9, B49, G05"
2063,neurologic|neuromuscular disorders|myopathy|toxic myopathy due to alcohol,"359.4, E860.0, G72.2"
2064,neurologic|trauma - CNS|intracranial injury|with intracerebral hemorrhage,"851.80, S06.9"
2065,oncology|hematologic malignancy|leukemia|chronic lymphocytic|in remission,"204.11, C91.11"
2066,oncology|hematologic malignancy|leukemia|chronic myelogenous|in remission,"205.11, C92.11"
2067,pulmonary|disorders of vasculature|pulmonary hemorrhage|due to vasculitis,"786.3, R04.9"
2068,pulmonary|disorders of vasculature|pulmonary hemorrhage|procedure related,"786.3, 998.11, T88"
2069,pulmonary|post thoracic surgery|s/p thoracoscopic procedure|decortication,
2070,pulmonary|pulmonary infections|pneumonia|opportunistic|fungal|aspergillus,"484.6, 117.3, B44.1"
2071,pulmonary|respiratory failure|acute respiratory distress|etiology unknown,518.82
2072,pulmonary|respiratory failure|failure to wean|due to generalized weakness,
2073,renal|abnormality of urine quantity or quality|diabetes insipidus|central,"253.5, E23.2"
2074,renal|abnormality of urine quantity or quality|polyuria|post ATN diuresis,"788.42, R35.8"
2075,renal|disorder of acid base|mixed acid base disorder|respiratory acidosis,"276.4, E87.4"
2076,renal|disorder of kidney|acute renal failure|unstable during hemodialysis,"584.9, N17.9"
2077,surgery|acute cardiac problems|coronary artery disease|known|asymptomatic,"414.01, I25.10"
2078,"surgery|cardiac surgery|arrhythmia|heart block|pacemaker in place, pacing","426.10, I44.30"
2079,surgery|general surgery postop issues|viscus perforation|small intestinal,"569.83, K63.1"
2080,toxicology|drug overdose|acetaminophen overdose|hepatic injury unexpected,"E980.0, 965.4, T39.1X"
2081,toxicology|drug overdose|barbiturate overdose|with respiratory depression,"967.0, E980.1, 786.00, T42.3X"
2082,toxicology|drug overdose|drug overdose- general|previous suicide attempts,
2083,"burns/trauma|dermatology|rash, non-infectious|acute and chronic dermatitis","692.9, L30.9"
2084,burns/trauma|trauma - CNS|intracranial injury|with depressed mental status,"854.06, S06.0"
2085,burns/trauma|trauma - CNS|intracranial injury|with subarachnoid hemorrhage,"852.00, S06.6"
2086,burns/trauma|trauma - skeletal|bone fracture(s)|left lower extremity|femur,821.00
2087,burns/trauma|trauma - skeletal|bone fracture(s)|left lower extremity|tibia,823.00
2088,burns/trauma|trauma - skeletal|bone fracture(s)|right upper extremity|ulna,813.00
2089,"burns/trauma|trauma - skeletal|swollen extremity, etiology unknown|r/o DVT",
2090,burns/trauma|trauma- head and neck|facial bone fracture|maxillary fracture,802.4
2091,cardiovascular|arrhythmias|atrial fibrillation|with hemodynamic compromise,"427.31, I48.0"
2092,cardiovascular|cardiac surgery|valve replacement >= 7 days|aortic / mitral,
2093,cardiovascular|chest pain / ASHD|coronary artery disease|known|symptomatic,"414.00, I25.10"
2094,cardiovascular|diseases of the aorta|aortic dissection|descending thoracic,"441.01, I71.01"
2095,cardiovascular|diseases of the aorta|aortic dissection|with bowel ischemia,"441.00, I71.00"
2096,cardiovascular|diseases of the aorta|aortic dissection|with renal ischemia,"441.00, I71.00"
2097,cardiovascular|infection|endocarditis - native valve|staphylococcus aureus,"421.0, 041.11, B95.6, I33.0"
2098,cardiovascular|post vascular surgery|s/p interventional vascular procedure,
2099,cardiovascular|shock / hypotension|septic shock|organism identified|fungal,"785.59, 038.9, 995.92"
2100,endocrine|fluids and electrolytes|hypercalcemia|due to hyperparathyroidism,"275.42, E83.52"
2101,endocrine|fluids and electrolytes|hyperkalemia|moderate ( 5.5 -6.1 meq/dl),"276.7, E87.5"
2102,endocrine|fluids and electrolytes|hypokalemia|moderate ( 2.8 - 3.5 meq/dl),"276.7, E87.8"
2103,endocrine|fluids and electrolytes|hyponatremia|moderate (125 - 135 meq/dl),"276.1, E87.1"
2104,gastrointestinal|abdominal/ general|abdominal compartment syndrome|post-op,"998.9, M79.A3"
2105,gastrointestinal|abdominal/ general|abdominal pain / tenderness|epigastric,"789.06, R10.13"
2106,gastrointestinal|hepatic disease|fulminant hepatic failure|viral hepatitis,"570, K72.0"
2107,gastrointestinal|intestinal disease|diarrhea|non-infectious|food poisoning,"005.9, A05.9"
2108,"gastrointestinal|intestinal disease|enteritis|colitis, presumed infectious","009.1, A09"
2109,"gastrointestinal|intestinal disease|enteritis|ileitis, presumed infectious","009.1, A09"
2110,gastrointestinal|pancreatic disease|pancreatitis|with pseudocyst formation,"577.2, K86.3"
2111,hematology|bleeding and red blood cell disorders|anemia|sickle cell anemia,"282.60, D57.1"
2112,hematology|bleeding and red blood cell disorders|hemorrhage|related to DIC,
2113,hematology|oncology and leukemia|myeloproliferative disorder|myelofibrosis,"238.7, D75.81"
2114,infectious diseases|CNS infections|meningitis|acute|bacterial|pneumococcus,"320.1, G00.1"
2115,infectious diseases|CNS infections|meningitis|acute|bacterial|staph aureus,320.7
2116,infectious diseases|GI infections|diarrhea due to infection|food poisoning,"005.9, A05.9"
2117,infectious diseases|chest/pulmonary infections|pneumonia|opportunistic|PCP,"136.3, B59"
2118,infectious diseases|systemic/other infections|AIDS|with HIV cardiomyopathy,"042, B20"
2119,infectious diseases|systemic/other infections|HIV positive|cd4 = 200 - 350,"V08, Z21"
2120,infectious diseases|systemic/other infections|bacteremia|gram negative rod,"038.9, R78.81"
2121,infectious diseases|systemic/other infections|bacteremia|hospital acquired,"038.9, R78.81"
2122,neurologic|CNS mass lesions|cerebral mass of unknown etiology|likely tumor,784.2
2123,neurologic|disorders of vasculature|stroke|hemorrhagic stroke|hypertensive,"431, 431, 431, 431, I61.9"
2124,neurologic|disorders of vasculature|stroke|ischemic stroke|lacunar infarct,"434.91, I63.50"
2125,neurologic|infectious disease of nervous system|meningitis|acute|bacterial,"320.7, 320.7, 320.7, 320.7, 320.7, G00.9"
2126,neurologic|trauma - CNS|intracranial injury|with normal radiological study,"854.00, S06.9"
2127,pulmonary|disorders of lung parenchyma|atelectasis/collapse|focal|moderate,"518.0, J98.11"
2128,pulmonary|disorders of the airways|upper respiratory obstruction|suspected,
2129,pulmonary|post thoracic surgery|s/p thoracoscopic procedure|bleb resection,
2130,pulmonary|post thoracic surgery|s/p thoracoscopic procedure|lung reduction,
2131,pulmonary|post thoracic surgery|s/p thoracoscopic procedure|pleural biopsy,
2132,pulmonary|pulmonary infections|pneumonia|opportunistic|fungal|cryptococcus,"117.5, 484.7, B45.0"
2133,pulmonary|respiratory failure|acute respiratory failure|due to atelectasis,"518.81, J96.00"
2134,renal|disorder of acid base|metabolic acidosis|drug induced|other chemical,"276.2, E87.2"
2135,renal|fluid imbalance|hypervolemia|in the absence of renal failure and CHF,"276.6, E87.70"
2136,surgery|infections|pneumonia|hospital acquired (not ventilator-associated),"486, J18.9"
2137,surgery|obstetrics|pre-eclampsia/ eclampsia|pregnancy induced hypertension,642.30
2138,toxicology|drug overdose|barbiturate overdose|with decreased mental status,"E980.1, 780.09, 967.0, T42.3X"
2139,transplant|s/p bone marrow transplant|neutropenia - bone marrow transplant,"996.85, T86.00"
2140,transplant|s/p liver transplant|fever - liver transplant|postop >= 2 weeks,"996.82, T86.40"
2141,burns/trauma|trauma - CNS|intracranial injury|with intracerebral hemorrhage,"851.80, S06.9"
2142,burns/trauma|trauma - skeletal|bone fracture(s)|left lower extremity|fibula,823.00
2143,burns/trauma|trauma - skeletal|bone fracture(s)|left upper extremity|radius,813.00
2144,burns/trauma|trauma - skeletal|bone fracture(s)|right lower extremity|femur,
2145,burns/trauma|trauma - skeletal|bone fracture(s)|right lower extremity|tibia,
2146,burns/trauma|trauma - skeletal|traumatic injury to major vessel(s)|axillary,"903.00, S45.80"
2147,burns/trauma|trauma- head and neck|facial bone fracture|mandibular fracture,"802.20, S02.60"
2148,burns/trauma|trauma- head and neck|facial bone fracture|nasal fracture|open,802.1
2149,burns/trauma|trauma- head and neck|facial bone fracture|orbital trauma|left,"802.8, S05.1"
2150,cardiovascular|chest pain / ASHD|coronary artery disease|known|asymptomatic,"414.00, I25.10"
2151,cardiovascular|infection|endocarditis - native valve|streptococcus viridans,"041.00, 421.0, B95.5, I33.0"
2152,cardiovascular|pericardial diseases|pericardial tamponade|by echocardiogram,"423.9, I31.9"
2153,cardiovascular|valvular disease|valvular stenosis|aortic|with insufficiency,"395.2, I06.2"
2154,cardiovascular|valvular disease|valvular stenosis|mitral|with insufficiency,"394.2, I05.2"
2155,cardiovascular|ventricular disorders|acute pulmonary edema|post-obstructive,"518.4, I50.1"
2156,cardiovascular|ventricular disorders|cardiomyopathy|dilated|ethanol related,"425.5, I42.6"
2157,cardiovascular|ventricular disorders|cardiomyopathy|dilated|hemochromatosis,"275.0, 425.7, E83.119, I43"
2158,cardiovascular|ventricular disorders|cardiomyopathy|dilated|hyperthyroidism,"242.90, 425.7, E05.90, I43"
2159,cardiovascular|ventricular disorders|cardiomyopathy|hypertrophic|idiopathic,I42.8
2160,cardiovascular|ventricular disorders|cardiomyopathy|peri-partum|post-partum,"648.64, O90.3"
2161,cardiovascular|ventricular disorders|congestive heart failure|biventricular,"428.0, I50.9"
2162,cardiovascular|ventricular disorders|congestive heart failure|cor pulmonale,I50.9
2163,cardiovascular|ventricular disorders|congestive heart failure|decompensated,"428.0, I50.9"
2164,endocrine|fluids and electrolytes|hypernatremia|moderate (146 - 155 meq/dl),"276.0, E87.0"
2165,endocrine|glucose metabolism|hyperosmolar nonketotic coma|insulin-requiring,"250.23, E13.00"
2166,endocrine|glucose metabolism|hypoglycemia|from oral hypoglycemic medication,"251.1, E932.3, E16.0, T38.3"
2167,gastrointestinal|abdominal/ general|abdominal pain / tenderness|generalized,"789.07, R10.84"
2168,gastrointestinal|abdominal/ general|intra-abdominal abscess|retroperitoneal,"567.38, K68.1"
2169,gastrointestinal|hepatic disease|fulminant hepatic failure|etiology unknown,"570, K72.0"
2170,gastrointestinal|hepatic disease|fulminant hepatic failure|hepatic necrosis,"570, K72.0"
2171,gastrointestinal|hepatic disease|hepatic dysfunction|with cirrhosis|biliary,"571.6, K74.5"
2172,gastrointestinal|intestinal disease|diarrhea|C. difficile colitis|suspected,
2173,gastrointestinal|intestinal disease|viscus perforation|colonic|due to tumor,"569.83, K63.1"
2174,gastrointestinal|intestinal disease|viscus perforation|gastric|due to tumor,"537.9, K31.9"
2175,gastrointestinal|intestinal disease|viscus perforation|gastric|due to ulcer,"531.50, K28.1"
2176,hematology|coagulation disorders|hypercoagulable state|protein C deficiency,"286.9, D68.59"
2177,hematology|coagulation disorders|hypercoagulable state|protein S deficiency,"286.9, D68.59"
2178,hematology|oncology and leukemia|myelodysplastic syndrome|refractory anemia,"238.7, D46.4"
2179,hematology|platelet disorders|thrombocytopenia|due to splenic sequestration,"287.5, D69.6"
2180,infectious diseases|CNS infections|meningitis|after neurosurgical procedure,"322.9, G03.9"
2181,infectious diseases|GI infections|intra-abdominal abscess|hepatic|bacterial,"572.0, K75.0"
2182,infectious diseases|chest/pulmonary infections|mediastinitis|post operative,"519.2, J98.5"
2183,infectious diseases|chest/pulmonary infections|pneumonia|community-acquired,"486, J18.9"
2184,infectious diseases|head and neck infections|sinusitis|clinically suspected,
2185,"infectious diseases|skin, bone and joint infections|diabetic foot infection",
2186,"infectious diseases|skin, bone and joint infections|infected pressure ulcer",
2187,"infectious diseases|skin, bone and joint infections|osteomyelitis|extremity","730.20, M86.9"
2188,"infectious diseases|skin, bone and joint infections|osteomyelitis|vertebral","730.28, M46.20"
2189,infectious diseases|systemic/other infections|bacteremia|community acquired,"790.7, R78.81"
2190,infectious diseases|systemic/other infections|bacteremia|respiratory source,"038.9, R78.81"
2191,infectious diseases|systemic/other infections|septic shock|cultures pending,"785.59, 038.9, 995.92, R65.21"
2192,neurologic|CNS mass lesions|spinal cord compression|secondary to metastasis,"336.9, G95.9"
2193,"neurologic|altered mental status / pain|dementia|dementia, unknown etiology","294.9, F03"
2194,neurologic|disorders of vasculature|stroke|hemorrhagic stroke|postoperative,"997.02, I97.821"
2195,neurologic|infectious disease of nervous system|CNS abscess|spinal epidural,"324.1, G06.1"
2196,neurologic|neuromuscular disorders|motor neuropathy|Guillain-Barre syndrome,"357.0, G61.0"
2197,neurologic|trauma - CNS|increased intracranial pressure|herniation syndrome,"348.4, G93.5"
2198,pulmonary|disorders of acid base|respiratory acidosis|due to CNS depression,"276.2, E87.2"
2199,pulmonary|disorders of the airways|asthma / bronchospasm|due to anaphylaxis,"493.90, 995.0, J45"
2200,pulmonary|disorders of the airways|asthma / bronchospasm|status asthmaticus,"493.91, J45.902"
2201,pulmonary|post thoracic surgery|s/p thoracoscopic procedure|wedge resection,
2202,renal|disorder of acid base|mixed acid base disorder|respiratory alkalosis-,"276.4, E87.4"
2203,renal|disorder of kidney|acute renal failure|due to cardio-pulmonary bypass,"584.9, N17.9"
2204,renal|disorder of kidney|acute renal failure|due to nephrotoxic agents|ARBs,"584.9, E942.9, N17.9"
2205,surgery|general surgery postop issues|hemorrhage|known coagulopathy present,"998.11, I97.89"
2206,surgery|gynecological surgery|s/p ovarian surgery|s/p salpingo-oophorectomy,
2207,surgery|head and neck surgery|s/p head and neck cancer surgery|laryngectomy,
2208,surgery|respiratory failure|acute lung injury|pulmonary etiology|aspiration,J80
2209,surgery|thoracic surgery|tension pneumothorax|pneumothorax on surgical side,"512.1, J95.81"
2210,toxicology|drug overdose|drug overdose- general|with respiratory depression,
2211,transplant|s/p kidney transplant|fever - kidney transplant|postop < 2 weeks,"996.81, T86.10"
2212,burns/trauma|trauma - abdomen|penetrating vascular trauma|mesenteric vessels,"902.20, S35.2"
2213,burns/trauma|trauma - skeletal|bone fracture(s)|cervical spine|closed|stable,
2214,burns/trauma|trauma - skeletal|bone fracture(s)|left lower extremity|patella,822.0
2215,burns/trauma|trauma - skeletal|bone fracture(s)|left upper extremity|humerus,812.00
2216,burns/trauma|trauma - skeletal|bone fracture(s)|right lower extremity|fibula,
2217,burns/trauma|trauma - skeletal|bone fracture(s)|right upper extremity|radius,813.00
2218,burns/trauma|trauma - skeletal|traumatic injury to major vessel(s)|popliteal,"904.40, S85.00"
2219,burns/trauma|trauma- head and neck|facial bone fracture|orbital trauma|right,"802.8, S05.1"
2220,burns/trauma|trauma- head and neck|facial bone fracture|zygoma fracture|left,802.4
2221,burns/trauma|trauma- head and neck|open neck injury|open injury to neck-left,"874.9, S11.8"
2222,"cardiovascular|arrhythmias|AV block|pacemaker in place, pacing and capturing",
2223,cardiovascular|chest pain / ASHD|acute coronary syndrome|myocardial ischemia,"411.89, I24.8"
2224,cardiovascular|vascular disorders|peripheral vascular ischemia|atheroembolic,"445.89, I75.89"
2225,cardiovascular|vascular disorders|peripheral vascular ischemia|due to sepsis,"443.9, I73.9"
2226,cardiovascular|vascular disorders|peripheral vascular ischemia|postoperative,"443.9, I73.9"
2227,cardiovascular|vascular disorders|peripheral vascular ischemia|with cyanosis,"443.9, I73.9"
2228,"cardiovascular|ventricular disorders|cardiac injury, blunt|cardiac tamponade","423.0, I31.4"
2229,cardiovascular|ventricular disorders|cardiomyopathy|dilated|post-myocarditis,"425.9, I43"
2230,cardiovascular|ventricular disorders|congestive heart failure|systolic|acute,"428.21, I50.21"
2231,endocrine|fluids and electrolytes|hypermagnesemia|due to renal insufficiency,"275.2, E83.41"
2232,gastrointestinal|GI bleeding / PUD|lower GI bleeding|due to A-V malformation,"569.85, K55.21"
2233,gastrointestinal|abdominal/ general|abdominal pain / tenderness|with rebound,"789.60, R10.829"
2234,gastrointestinal|intestinal disease|viscus perforation|duodenal|due to ulcer,"537.9, K31.9"
2235,hematology|bleeding and red blood cell disorders|anemia|megaloblastic anemia,"281.1, D51.9"
2236,infectious diseases|CNS infections|encephalitis|systemic lupus erythematosus,"323.8, M32.19"
2237,infectious diseases|GU infections|acute pyelonephritis|without renal calculi,"590.10, N10"
2238,"infectious diseases|skin, bone and joint infections|cellulitis|head and neck","682.9, L03.90"
2239,"infectious diseases|skin, bone and joint infections|disorders of sweat gland",
2240,infectious diseases|systemic/other infections|bacteremia|gram postive coccus,"038.9, R78.81"
2241,neurologic|CNS mass lesions|cerebral mass of unknown etiology|likely abscess,784.2
2242,neurologic|altered mental status / pain|drug withdrawal syndrome|barbiturate,"292.0, F19.939"
2243,neurologic|infectious disease of nervous system|encephalitis|viral|suspected,
2244,neurologic|post-neurosurgery|post functional procedure|for movement disorder,
2245,neurologic|post-neurosurgery|post neurointerventional procedure|embolization,
2246,neurologic|trauma - CNS|fracture of skull|base|closed|with epidural hematoma,801.20
2247,neurologic|trauma - CNS|intracranial injury|loss of consciousness <= 60 mins,"854.02, S06.9"
2248,neurologic|trauma - CNS|intracranial injury|with intraventricular hemorrhage,"853.00, S06.9"
2249,pulmonary|disorders of lung parenchyma|atelectasis/collapse|diffuse|moderate,"518.0, J98.11"
2250,pulmonary|disorders of lung parenchyma|interstitial lung disease|sarcoidosis,"135, 517.8, D86.9"
2251,pulmonary|disorders of the airways|mechanical airway problem|self-extubation,
2252,pulmonary|pulmonary infections|pneumonia|opportunistic|fungal|histoplasmosis,"115.95, 484.7, B39.2"
2253,pulmonary|respiratory failure|acute lung injury|pulmonary etiology|pneumonia,"518.81, J80"
2254,pulmonary|respiratory failure|failure to wean|due to elevated metabolic rate,
2255,renal|abnormality of urine quantity or quality|oliguria|probable hypovolemia,"788.5, R34"
2256,renal|disorder of urinary tract / renal system infection|perinephric abscess,"590.2, N15.1"
2257,surgery|cardiac surgery|low cardiac output state|biventricular assist device,"997.1, I97.89"
2258,surgery|cardiac surgery|low cardiac output state|due to valvular dysfunction,"997.1, I97.89"
2259,toxicology|drug overdose|benzodiazepine overdose|with respiratory depression,"969.0, 780.39, T42.4X"
2260,toxicology|drug overdose|drug overdose- general|with decreased mental status,
2261,transplant|s/p liver transplant|biliary complication - liver transplant|leak,"996.82, T86.40"
2262,burns/trauma|trauma - CNS|fracture of skull|vault|open|with subdural hematoma,800.70
2263,burns/trauma|trauma - skeletal|bone fracture(s)|right lower extremity|patella,
2264,burns/trauma|trauma - skeletal|bone fracture(s)|right upper extremity|humerus,
2265,burns/trauma|trauma- head and neck|facial bone fracture|nasal fracture|closed,802.0
2266,burns/trauma|trauma- head and neck|facial bone fracture|orbital fracture|left,802.8
2267,burns/trauma|trauma- head and neck|facial bone fracture|zygoma fracture|right,802.4
2268,cardiovascular|arrhythmias|atrial fibrillation|without hemodynamic compromise,"427.31, I48.0"
2269,cardiovascular|arrhythmias|atrial premature beats|with hemodynamic compromise,"427.61, I49.1"
2270,cardiovascular|diseases of the aorta|aortic aneurysm|thoraco-abdominal|stable,"441.7, I71.6"
2271,cardiovascular|shock / hypotension|sepsis|sepsis with multi-organ dysfunction,"995.92, R65.20"
2272,cardiovascular|valvular disease|valvular insufficiency|aortic valve|rheumatic,"424.1, I06.1"
2273,cardiovascular|valvular disease|valvular insufficiency|mitral valve|rheumatic,"424.0, I05.1"
2274,cardiovascular|vascular disorders|hypertension|hypertensive emergency/urgency,"401.0, I10"
2275,cardiovascular|vascular disorders|pulmonary embolism|probable by nuclear scan,"415.19, I26.99"
2276,"cardiovascular|vascular disorders|swollen extremity, etiology unknown|r/o DVT",
2277,cardiovascular|ventricular disorders|congestive heart failure|diastolic|acute,"428.31, I50.31"
2278,gastrointestinal|abdominal/ general|abdominal pain / tenderness|with guarding,"789.00, R10.9"
2279,gastrointestinal|hepatic disease|hepatic dysfunction|with cirrhosis|alcoholic,"571.2, K70.3"
2280,gastrointestinal|intestinal disease|GI obstruction / ileus|ileus|drug-induced,"560.1, K56.0"
2281,general|quality measures|antithrombotics given within recommended time period,
2282,hematology|bleeding and red blood cell disorders|anemia|multifactorial anemia,"285.9, D64.9"
2283,hematology|platelet disorders|thrombocytopenia|primary hematologic malignancy,"287.5, D69.6"
2284,infectious diseases|CNS infections|CNS abscess|with herniation syndrome|uncal,"324.0, 348.4, G93.5, G06.0"
2285,infectious diseases|GU infections|lower urinary tract infection|likely fungal,"595.9, N30.9"
2286,infectious diseases|chest/pulmonary infections|empyema|bacterial|staph aureus,"510.9, 041.11, B95.6, J86.9"
2287,infectious diseases|chest/pulmonary infections|pneumonia|opportunistic|fungal,"484.7, 484.7, 484.7, 484.7, J17"
2288,"infectious diseases|skin, bone and joint infections|cellulitis|abdomen/pelvis","682.2, L03.90"
2289,"infectious diseases|skin, bone and joint infections|pruritus & like condition",
2290,infectious diseases|systemic/other infections|bacteremia|genitourinary source,"038.9, R78.81"
2291,infectious diseases|systemic/other infections|bacteremia|skin or wound source,"790.7, R78.81"
2292,neurologic|infectious disease of nervous system|meningitis|community-acquired,"322.9, G03.9"
2293,oncology|hematologic malignancy|lymphoproliferative disease|Hodgkin's disease,"201.90, C81.90"
2294,pulmonary|disorders of the airways|upper respiratory obstruction|due to tumor,"786.00, R06.1"
2295,pulmonary|pulmonary infections|pneumonia|opportunistic|fungal|coccidiomycosis,"484.7, 114.0, B38.0"
2296,pulmonary|pulmonary infections|pneumonia|opportunistic|mycobacterial|atypical,"011.60, A15.0"
2297,pulmonary|respiratory failure|ARDS|non-pulmonary etiology|massive transfusion,"518.81, J80"
2298,pulmonary|respiratory failure|acute lung injury|pulmonary etiology|aspiration,"518.81, J80"
2299,pulmonary|respiratory failure|acute respiratory failure|drug related|narcotic,"518.81, J96.00"
2300,pulmonary|respiratory failure|failure to wean|due to cardiac ischemia/failure,
2301,pulmonary|respiratory failure|pulmonary aspiration|large particulate aspirate,"507.0, J69.0"
2302,renal|abnormality of urine quantity or quality|diabetes insipidus|nephrogenic,"588.1, N25.1"
2303,renal|disorder of acid base|mixed acid base disorder|metabolic acidosis|acute,276.4
2304,renal|disorder of kidney|acute renal failure|due to nephrotoxic agents|NSAIDs,"584.9, E935.3, N17.9"
2305,renal|disorder of urinary tract / renal system infection|obstructive uropathy,"586, N19"
2306,renal|electrolyte imbalance|hypernatremia|due to excess sodium administration,"276.0, E87.0"
2307,surgery|acute cardiac problems|atrial fibrillation|rapid ventricular response,"427.31, I48.0"
2308,"surgery|cardiac surgery|arrhythmia|bradycardia|pacemaker in place, not pacing","427.81, R00.1"
2309,surgery|cardiac surgery|low cardiac output state|due to pericardial tamponade,"997.1, I97.89"
2310,surgery|vascular surgery|hemorrhage|neck hematoma post carotid endarterectomy,998.11
2311,toxicology|drug overdose|benzodiazepine overdose|with decreased mental status,"E980.2, 969.4, 780.09, T42.4X"
2312,transplant|s/p bone marrow transplant|oral mucositis - bone marrow transplant,"996.85, T86.00"
2313,burns/trauma|trauma - CNS|fracture of skull|base|closed|with epidural hematoma,801.20
2314,burns/trauma|trauma - CNS|intracranial injury|loss of consciousness <= 60 mins,"854.02, S06.9"
2315,burns/trauma|trauma - CNS|intracranial injury|with intraventricular hemorrhage,"853.00, S06.9"
2316,burns/trauma|trauma - skeletal|bone fracture(s)|cervical spine|closed|unstable,
2317,burns/trauma|trauma - skeletal|bone fracture(s)|left lower extremity|navicular,S92.25
2318,burns/trauma|trauma - skeletal|bone fracture(s)|left upper extremity|ulna|open,813.90
2319,burns/trauma|trauma- head and neck|facial bone fracture|orbital fracture|right,802.8
2320,cardiovascular|arrhythmias|atrial fibrillation|with rapid ventricular response,"427.31, I48.0"
2321,cardiovascular|arrhythmias|ventricular tachycardia|with hemodynamic compromise,"427.1, I47.2"
2322,cardiovascular|infection|endocarditis - prosthetic valve|gram-negative bacilli,"041.85, 421.0, 996.61, B96.89, I33.0"
2323,cardiovascular|infection|endocarditis - prosthetic valve|staphylococcus aureus,"996.61, 041.11, 421.0, B95.6, I33.0"
2324,cardiovascular|pericardial diseases|pericardial tamponade|clinically suspected,
2325,cardiovascular|vascular disorders|arterial thromboembolism|associated with HIT,"E934.2, 444.9, I74.9, D75.82"
2326,cardiovascular|ventricular disorders|acute pulmonary edema|due to hypertension,"428.1, 402.91, I11.0, I50.1"
2327,cardiovascular|ventricular disorders|congestive heart failure|systolic|chronic,"428.22, I50.22"
2328,endocrine|fluids and electrolytes|diabetes insipidus|central|from neurosurgery,"253.5, E23.2"
2329,endocrine|pituitary and temperature regulation|pituitary adrenal insufficiency,"253.4, E23.0"
2330,endocrine|thyroid|thyroid storm|thyrotoxicosis factitia with thyrotoxic crisis,"242.81, E05.41"
2331,gastrointestinal|intestinal disease|GI obstruction / ileus|gastric obstruction,"537.9, K31.9"
2332,hematology|bleeding and red blood cell disorders|hemolysis|sickle cell disease,"282.60, D57.1"
2333,hematology|coagulation disorders|arterial thromboembolism|left lower extremity,"444.22, I74.3"
2334,hematology|coagulation disorders|hypercoagulable state|antithrombin deficiency,"286.9, D68.59"
2335,hematology|oncology and leukemia|lymphoproliferative disease|Hodgkin's disease,"201.90, C81.90"
2336,hematology|platelet disorders|platelet dysfunction|due to aspirin or NSAID use,"287.1, D69.1"
2337,infectious diseases|chest/pulmonary infections|pneumonia|ventilator-associated,"486, J18.9"
2338,"infectious diseases|skin, bone and joint infections|skin/subcutaneous disorder",
2339,infectious diseases|systemic/other infections|septic shock|organism identified,"785.59, 038.9, 995.92, R65.21"
2340,neurologic|CNS mass lesions|brain herniation syndrome|with reflex hypertension,"348.4, G93.5, I15.9"
2341,neurologic|CNS mass lesions|increased intracranial pressure|from hydrocephalus,G91.9
2342,oncology|head and neck tumors|mouth and jaw tumor|oral cavity squamous cell CA,"145.9, C06.9"
2343,pulmonary|disorders of acid base|respiratory acidosis|due to myasthenia gravis,"276.2, E87.2"
2344,pulmonary|disorders of the airways|obstruction of trachea / bronchus|suspected,
2345,pulmonary|disorders of vasculature|pulmonary embolism|probable by nuclear scan,"415.19, I26.99"
2346,pulmonary|post thoracic surgery|s/p thoracoscopic procedure|lung tissue biopsy,
2347,pulmonary|respiratory failure|acute respiratory failure|due to muscle weakness,"518.81, J96.00"
2348,pulmonary|respiratory failure|failure to wean|due to limited pulmonary reserve,
2349,renal|abnormality of urine quantity or quality|oliguria|possibly due to low CO,"788.5, R34"
2350,renal|disorder of acid base|respiratory acidosis|due to intrinsic lung disease,276.2
2351,renal|electrolyte imbalance|hyperchloremia|due to normal saline administration,"276.9, E87.8"
2352,renal|electrolyte imbalance|hyponatremia|due to elevated ADH levels|from drugs,"276.1, E87.1"
2353,surgery|cardiac surgery|low cardiac output state|due to pulmonary hypertension,"997.1, I97.89"
2354,surgery|cardiac surgery|pleural effusion|interfering with respiratory function,"511.9, J91.8"
2355,surgery|general surgery postop issues|hemorrhage|possible coagulopathy present,"998.11, I97.89"
2356,surgery|general surgery postop issues|viscus perforation|duodenal|due to ulcer,"537.9, K31.9"
2357,surgery|gynecological surgery|s/p ovarian surgery|s/p oophorectomy/ovariectomy,
2358,toxicology|poisoning by drugs/meds/biologicals|poisoning: cardiovascular agent,
2359,transplant|s/p bone marrow transplant|pulmonary edema - bone marrow transplant,"996.85, T86.00"
2360,transplant|s/p liver transplant|hemorrhage - liver transplant|thrombocytopenia,"996.82, T86.40"
2361,burns/trauma|trauma - skeletal|bone fracture(s)|left lower extremity|femur|open,821.10
2362,burns/trauma|trauma - skeletal|bone fracture(s)|left lower extremity|metatarsal,825.0
2363,burns/trauma|trauma - skeletal|bone fracture(s)|left lower extremity|tibia|open,823.90
2364,burns/trauma|trauma - skeletal|bone fracture(s)|left upper extremity|metacarpal,815.00
2365,burns/trauma|trauma - skeletal|bone fracture(s)|right lower extremity|calcaneus,
