drugname,generic_name,pred_11,pred_12,all_pred_12,consistency_12,pred_13,pred_14,all_pred_14,consistency_14,pred_15,pred_16,all_pred_16,consistency_16,pred_17,pred_18,all_pred_18,consistency_18,pred_19,pred_20,all_pred_20,consistency_20
GLUCAGON HCL (RDNA) 1 MG IJ SOLR,glucagon,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0
2 ML - FENTANYL CITRATE 0.05 MG/ML IJ SOLN,fentanyl,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0
3 ML - IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,albuterol 0.833 mg/ml / ipratropium 0.167 mg/ml,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0
SODIUM CHLORIDE 0.9%,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
SENOKOT-S TAB,senna,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna succinate,"['senna succinate', 'senna', 'senna succinate', 'senna succinate', 'senna succinate']",0.8
Zofran,ondansetron,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0
METOPROLOL TARTRATE 25 MG TAB,metoprolol tartrate,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol tartrate,metoprolol tartrate ->,"['metoprolol tartrate ->', 'metoprolol tartrate ->', 'metoprolol tartrate ->', 'metoprolol tartrate', 'metoprolol tartrate']",0.6,metoprolol tartrate ->,metoprolol tartrate ->,"['metoprolol tartrate', 'metoprolol tartrate ->', 'metoprolol tartrate', 'metoprolol tartrate ->', 'metoprolol tartrate ->']",0.6,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0
2 ML : ONDANSETRON HCL 4 MG/2ML IV SOLN,ondansetron,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0
HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,acetaminophen / hydrocodone,hydrocodone-acetaminophen,hydrocodone-acetaminophen,"['hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen']",1.0,hydrocodone-acetaminophen,hydrocodone-acetaminophen,"['hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen']",1.0,hydrocodone-acetaminophen,hydrocodone-acetaminophen,"['hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen']",1.0,hydrocodone-acetaminophen,hydrocodone-acetaminophen,"['hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen']",1.0,hydrocodone-acetaminophen,hydrocodone-acetaminophen,"['hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen', 'hydrocodone-acetaminophen']",1.0
100 ML - MAGNESIUM SULFATE IN D5W 10-5 MG/ML-% IV SOLN,magnesium sulfate,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0
SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG PO TABS,senna-docusate,sennosides-docusate sodium,sennosides-docusate sodium,"['sennosides-docusate sodium', 'sennosides-docusate sodium', 'sennosides-docusate sodium', 'sennosides-docusate sodium', 'sennosides-docusate sodium']",1.0,sennosides-docusate sodium,sennosides-docusate sodium,"['sennosides-docusate sodium', 'sennosides-docusate sodium', 'sennosides-docusate sodium', 'sennosides-docusate sodium', 'sennosides-docusate sodium']",1.0,sennosides-docusate sodium,sennosides-docusate sodium,"['sennosides-docusate sodium', 'sennosides-docusate sodium', 'sennosides-docusate sodium', 'sennosides-docusate sodium', 'sennosides-docusate sodium']",1.0,sennosides-docusate sodium,sennosides-docusate sodium,"['sennosides-docusate sodium', 'sennosides-docusate sodium', 'sennosides-docusate sodium', 'sennosides-docusate sodium', 'sennosides-docusate sodium']",1.0,sennosides-docusate sodium,sennosides-docusate sodium,"['sennosides-docusate sodium', 'sennosides-docusate', 'sennosides-docusate sodium', 'sennosides-docusate', 'sennosides-docusate sodium']",0.6
ASPIRIN 81 MG PO CHEW,aspirin,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0
1 ML - HYDRALAZINE HCL 20 MG/ML IJ SOLN,hydralazine,the generic name of the drug is hydr,the generic name of the drug is hydr,"['the generic name of the drug is hydr', 'the generic name of the drug is hydr', 'hydralazine', 'hydralazine', 'the generic name of the drug is hydr']",0.6,the generic name of the given drug is,"['the generic name of the drug is:', 'hydralazine', 'the generic name of the given drug is', 'hydralazine', 'the generic name of the drug is hy']",0.4,unsure,hydralazine,hydralazine,"['hydralazine', 'hydralazine', 'hydralazine', 'hydralazine', 'hydralazine']",1.0,hydralazine,hydralazine,"['hydralazine', 'hydralazine', 'hydralazine', 'hydralazine', 'hydralazine']",1.0,hydralazine,hydralazine,"['hydralazine', 'hydralazine', 'hydralazine', 'hydralazine', 'hydralazine']",1.0
MIDAZOLAM,midazolam,midazolam,midazolam,"['midazolam', 'midazolam', 'midazolam', 'midazolam', 'midazolam']",1.0,midazolam,midazolam,"['midazolam', 'midazolam', 'midazolam', 'midazolam', 'midazolam']",1.0,midazolam,midazolam,"['midazolam', 'midazolam', 'midazolam', 'midazolam', 'midazolam']",1.0,midazolam,midazolam,"['midazolam', 'midazolam', 'midazolam', 'midazolam', 'midazolam']",1.0,midazolam,midazolam,"['midazolam', 'midazolam', 'midazolam', 'midazolam', 'midazolam']",1.0
acetaMINOPHEN 650MG RECT SUPP,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
3 ML PLAS CONT: IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,albuterol 0.833 mg/ml / ipratropium 0.167 mg/ml,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0
PEPCID,famotidine,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0
FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN,fentanyl,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0
VANCOMYCIN HCL 1000 MG IV SOLR,vancomycin,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0
MORPHINE SULFATE,morphine,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0
LORAZEPAM,lorazepam,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0
1000 ml flex cont : sodium chloride 0.9 % iv soln,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
SODIUM CHLORIDE 0.9 % IJ SOLN,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
FAMOTIDINE 20 MG/2 ML SDV INJ,famotidine,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0
POTASSIUM CHLORIDE,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
INSULIN (REGULAR) 100 UNITS in 1,insulin,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0
ENOXAPARIN 40 MG/0.4 ML SYR,enoxaparin,enoxaparin,enoxaparin,"['enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin']",1.0,enoxaparin,enoxaparin,"['enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin']",1.0,enoxaparin,enoxaparin,"['enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin']",1.0,enoxaparin,enoxaparin,"['enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin']",1.0,enoxaparin,enoxaparin,"['enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin']",1.0
cefepime,cefepime,cefepime,cefepime,"['cefepime', 'cefepime', 'cefepime', 'cefepime', 'cefepime']",1.0,cefepime,cefepime,"['cefepime', 'cefepime', 'cefepime', 'cefepime', 'cefepime']",1.0,cefepime,cefepime,"['cefepime', 'cefepime', 'cefepime', 'cefepime', 'cefepime']",1.0,cefepime,cefepime,"['cefepime', 'cefepime', 'cefepime', 'cefepime', 'cefepime']",1.0,cefepime,cefepime,"['cefepime', 'cefepime', 'cefepime', 'cefepime', 'cefepime']",1.0
INSULIN ASPART 100 UNIT/ML SC SOLN,insulin aspart,insulin aspart,insulin aspart,"['insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart']",1.0,insulin aspart,insulin aspart,"['insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart']",1.0,insulin aspart,insulin aspart,"['insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart']",1.0,insulin aspart,insulin aspart,"['insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart']",1.0,insulin aspart,insulin aspart,"['insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart']",1.0
ACETAMINOPHEN 325 MG PO TABS,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
morPHINe,morphine,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0
"SODIUM CHLORIDE 0.9% 1,000 ML BAG",sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
NovoLOG,insulin aspart,insulin aspart,insulin aspart,"['insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart']",1.0,insulin aspart,insulin aspart,"['insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart']",1.0,insulin aspart,insulin aspart,"['insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart']",1.0,insulin aspart,insulin aspart,"['insulin aspart', 'novolog is a brand name for insulin', 'insulin aspart', 'novolog is a brand name for insulin', 'insulin aspart']",0.6,insulin aspart,insulin aspart,"['insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart']",1.0
albuterol-ipratropium 3-0.5mg,albuterol 0.833 mg/ml / ipratropium 0.167 mg/ml,albuterol-ipratropium,albuterol-ipratropium,"['albuterol-ipratropium', 'albuterol-ipratropium', 'albuterol-ipratropium', 'albuterol-ipratropium', 'albuterol-ipratropium']",1.0,albuterol-ipratropium,albuterol-ipratropium,"['albuterol-ipratropium', 'albuterol-ipratropium', 'albuterol-ipratropium', 'albuterol-ipratropium', 'albuterol-ipratropium']",1.0,albuterol-ipratropium,albuterol-ipratropium,"['albuterol-ipratropium', 'albuterol-ipratropium', 'albuterol-ipratropium', 'albuterol-ipratropium', 'albuterol-ipratropium']",1.0,albuterol-ipratropium,albuterol-ipratropium,"['albuterol-ipratropium', 'albuterol-ipratropium', 'albuterol-ipratropium', 'albuterol-ipratropium', 'albuterol-ipratropium']",1.0,albuterol-ipratropium,albuterol-ipratropium,"['albuterol-ipratropium', 'albuterol-ipratropium', 'albuterol-ipratropium', 'albuterol-ipratropium', 'albuterol-ipratropium']",1.0
LACTATED RINGERS IV SOLP,calcium chloride 0.2 mg/ml / potassium chloride 0.3 mg/ml / sodium chloride 6 mg/ml / sodium lactate 3.1 mg/ml,calcium chloride / potassium chloride / sodium chloride,calcium chloride / potassium chloride / sodium chloride,"['calcium chloride / potassium chloride / sodium chloride', 'calcium chloride / potassium chloride / sodium chloride', 'calcium chloride / potassium chloride / sodium chloride', 'calcium chloride / potassium chloride / sodium chloride', 'calcium chloride / potassium chloride / sodium chloride']",1.0,lactated ringers,lactated ringers,"['lactated ringers', 'lactated ringers', 'lactated ringers', 'the generic name of the drug is sodium', 'the generic name of the drug is lact']",0.6,lactated ringers,lactated ringers,"['lactated ringers', 'lactated ringers', 'lactated ringers', 'lactated ringers', 'lactated ringers']",1.0,lactated ringers,lactated ringers,"['lactated ringers', 'lactated ringers', 'lactated ringers', 'lactated ringers', 'lactated ringers']",1.0,lactated ringers injection,lactated ringers injection,"['lactated ringers injection', 'lactated ringers injection', 'lactated ringers injection', 'lactated ringers injection', 'lactated ringers injection']",1.0
POLYETHYLENE GLYCOL 3350 UDPWD,polyethylene glycol,polyethylene glycol 3350,polyethylene glycol 3350,"['polyethylene glycol 3350', 'polyethylene glycol 3350', 'polyethylene glycol 3350', 'polyethylene glycol 3350', 'polyethylene glycol 3350']",1.0,polyethylene glycol 3350,polyethylene glycol 3350,"['polyethylene glycol 3350', 'polyethylene glycol 3350', 'polyethylene glycol 3350', 'polyethylene glycol 3350', 'polyethylene glycol 3350']",1.0,polyethylene glycol 3350,polyethylene glycol 3350,"['polyethylene glycol 3350', 'polyethylene glycol 3350', 'polyethylene glycol 3350', 'polyethylene glycol 3350', 'polyethylene glycol 3350']",1.0,polyethylene glycol 3350,polyethylene glycol 3350,"['polyethylene glycol 3350', 'polyethylene glycol 3350', 'polyethylene glycol 3350', 'polyethylene glycol 3350', 'polyethylene glycol 3350']",1.0,polyethylene glycol 3350,polyethylene glycol 3350,"['polyethylene glycol 3350', 'polyethylene glycol 3350', 'polyethylene glycol 3350', 'polyethylene glycol 3350', 'polyethylene glycol 3350']",1.0
VERSED,midazolam,midazolam,midazolam,"['midazolam', 'midazolam', 'midazolam', 'midazolam', 'midazolam']",1.0,midazolam,midazolam,"['midazolam', 'midazolam', 'midazolam', 'midazolam', 'midazolam']",1.0,midazolam,midazolam,"['midazolam', 'midazolam', 'midazolam', 'midazolam', 'midazolam']",1.0,midazolam,midazolam,"['midazolam', 'midazolam', 'midazolam', 'midazolam', 'midazolam']",1.0,midazolam,midazolam,"['midazolam', 'midazolam', 'midazolam', 'midazolam', 'midazolam']",1.0
500 ML FLEX CONT EXCEL : SODIUM CHLORIDE 0.9 % IV SOLN,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
