drug,generic_name,pred_1,pred_2,all_pred_2,consistency_2,pred_3,pred_4,all_pred_4,consistency_4,pred_5,pred_6,all_pred_6,consistency_6,pred_7,pred_8,all_pred_8,consistency_8,pred_9,pred_10,all_pred_10,consistency_10
Metoprolol Tartrate,metoprolol tartrate,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol tartrate,metoprolol tartrate,"['metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate']",1.0,metoprolol tartrate,metoprolol tartrate,"['metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate']",1.0,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
LORazepam,lorazepam,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0
Vancomycin,vancomycin,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0
Pantoprazole,pantoprazole,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0
5% Dextrose,glucose 50 mg/ml,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
Docusate Sodium,docusate,docusate sodium -> docusate,docusate sodium -> docusate,"['docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate']",1.0,docusate sodium,docusate sodium,"['docusate sodium', 'docusate sodium', 'docusate sodium', 'docusate sodium', 'docusate sodium']",1.0,docusate sodium -> docusate,docusate sodium -> docusate,"['docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate']",1.0,docusate sodium,docusate sodium -> docusate,"['docusate sodium', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium', 'docusate sodium -> docusate']",0.6,docusate,docusate,"['docusate', 'docusate', 'docusate', 'docusate', 'docusate']",1.0
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
OxycoDONE (Immediate Release),oxycodone,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0
Famotidine,famotidine,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0
Heparin Sodium,heparin,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0
OxyCODONE (Immediate Release),oxycodone,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0
Amlodipine,amlodipine,amlodipine,amlodipine,"['amlodipine', 'amlodipine', 'amlodipine', 'amlodipine', 'amlodipine']",1.0,amlodipine,amlodipine,"['amlodipine', 'amlodipine', 'amlodipine', 'amlodipine', 'amlodipine']",1.0,amlodipine,amlodipine,"['amlodipine', 'amlodipine', 'amlodipine', 'amlodipine', 'amlodipine']",1.0,amlodipine,amlodipine,"['amlodipine', 'amlodipine', 'amlodipine', 'amlodipine', 'amlodipine']",1.0,amlodipine,amlodipine,"['amlodipine', 'amlodipine', 'amlodipine', 'amlodipine', 'amlodipine']",1.0
Influenza Vaccine Quadrivalent,influenza virus vaccine,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0,influenza vaccine,influenza vaccine,"['influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine', 'influenza vaccine']",1.0
Glucagon,glucagon,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0,glucagon,glucagon,"['glucagon', 'glucagon', 'glucagon', 'glucagon', 'glucagon']",1.0
Zolpidem Tartrate,zolpidem,zolpidem,zolpidem,"['zolpidem', 'zolpidem', 'zolpidem', 'zolpidem', 'zolpidem']",1.0,zolpidem,zolpidem,"['zolpidem', 'zolpidem', 'zolpidem', 'zolpidem', 'zolpidem']",1.0,zolpidem,zolpidem,"['zolpidem', 'zolpidem', 'zolpidem', 'zolpidem', 'zolpidem']",1.0,zolpidem,zolpidem,"['zolpidem', 'zolpidem', 'zolpidem', 'zolpidem', 'zolpidem']",1.0,zolpidem,zolpidem,"['zolpidem', 'zolpidem', 'zolpidem', 'zolpidem', 'zolpidem']",1.0
Omeprazole,omeprazole,omeprazole,omeprazole,"['omeprazole', 'omeprazole', 'omeprazole', 'omeprazole', 'omeprazole']",1.0,omeprazole,omeprazole,"['omeprazole', 'omeprazole', 'omeprazole', 'omeprazole', 'omeprazole']",1.0,omeprazole,omeprazole,"['omeprazole', 'omeprazole', 'omeprazole', 'omeprazole', 'omeprazole']",1.0,omeprazole,omeprazole,"['omeprazole', 'omeprazole', 'omeprazole', 'omeprazole', 'omeprazole']",1.0,omeprazole,omeprazole,"['omeprazole', 'omeprazole', 'omeprazole', 'omeprazole', 'omeprazole']",1.0
Multivitamins,multivitamin,multivitamins,multivitamins,"['multivitamins', 'multivitamins', 'multivitamins', 'multivitamins', 'multivitamins']",1.0,multivitamins,multivitamins,"['multivitamins', 'multivitamins', 'multivitamins', 'multivitamins', 'multivitamins']",1.0,multivitamins,multivitamins,"['multivitamins', 'multivitamins', 'multivitamins', 'multivitamins', 'multivitamins']",1.0,multivitamins,multivitamins,"['multivitamins', 'multivitamins', 'multivitamins', 'multivitamins', 'multivitamins']",1.0,multivitamins,multivitamins,"['multivitamins', 'multivitamins', 'multivitamins', 'multivitamins', 'multivitamins']",1.0
Ibuprofen,ibuprofen,ibuprofen,ibuprofen,"['ibuprofen', 'ibuprofen', 'ibuprofen', 'ibuprofen', 'ibuprofen']",1.0,ibuprofen,ibuprofen,"['ibuprofen', 'ibuprofen', 'ibuprofen', 'ibuprofen', 'ibuprofen']",1.0,ibuprofen,ibuprofen,"['ibuprofen', 'ibuprofen', 'ibuprofen', 'ibuprofen', 'ibuprofen']",1.0,ibuprofen,ibuprofen,"['ibuprofen', 'ibuprofen', 'ibuprofen', 'ibuprofen', 'ibuprofen']",1.0,ibuprofen,ibuprofen,"['ibuprofen', 'ibuprofen', 'ibuprofen', 'ibuprofen', 'ibuprofen']",1.0
Calcium Gluconate,calcium gluconate,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,"['calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon']",1.0,calcium gluconate,calcium gluconate,"['calcium gluconate', 'calcium gluconate -> calcium glucon', 'calcium gluconate', 'calcium gluconate -> calcium glucon', 'calcium gluconate']",0.6,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,"['calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon']",1.0,calcium gluconate,calcium gluconate,"['calcium gluconate', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate', 'calcium gluconate']",0.6,calcium gluconate,calcium gluconate,"['calcium gluconate', 'calcium gluconate', 'calcium gluconate', 'calcium gluconate', 'calcium gluconate']",1.0
Sodium Bicarbonate,sodium bicarbonate,sodium bicarbonate,sodium bicarbonate,"['sodium bicarbonate', 'sodium bicarbonate', 'sodium bicarbonate', 'sodium bicarbonate', 'sodium bicarbonate']",1.0,sodium bicarbonate,sodium bicarbonate,"['sodium bicarbonate', 'sodium bicarbonate', 'sodium bicarbonate', 'sodium bicarbonate', 'sodium bicarbonate']",1.0,sodium bicarbonate,sodium bicarbonate,"['sodium bicarbonate', 'sodium bicarbonate', 'sodium bicarbonate', 'sodium bicarbonate', 'sodium bicarbonate']",1.0,sodium bicarbonate -> bicarbonate,sodium bicarbonate -> bicarbonate,"['sodium bicarbonate -> bicarbonate', 'sodium bicarbonate -> bicarbonate', 'sodium bicarbonate -> bicarbonate', 'sodium bicarbonate -> bicarbonate', 'sodium bicarbonate -> bicarbonate']",1.0,sodium bicarbonate,sodium bicarbonate,"['sodium bicarbonate', 'sodium bicarbonate', 'sodium bicarbonate', 'sodium bicarbonate', 'sodium bicarbonate']",1.0
Ipratropium-Albuterol Neb,albuterol 0.833 mg/ml / ipratropium 0.167 mg/ml,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0
Chlorhexidine Gluconate 0.12% Oral Rinse,chlorhexidine gluconate,chlorhexidine,chlorhexidine,"['chlorhexidine', 'chlorhexidine', 'chlorhexidine', 'chlorhexidine', 'chlorhexidine']",1.0,chlorhexidine gluconate,chlorhexidine gluconate,"['chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate']",1.0,chlorhexidine gluconate,chlorhexidine gluconate,"['chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate']",1.0,chlorhexidine gluconate,chlorhexidine gluconate,"['chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate']",1.0,chlorhexidine gluconate,chlorhexidine gluconate,"['chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate', 'chlorhexidine gluconate']",1.0
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride -> potassium chloride (no change,potassium chloride,"['potassium chloride -> potassium chloride  the generic', 'potassium chloride -> potassium chloride (no change', 'potassium chloride', 'potassium chloride', 'potassium chloride']",0.6,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
HYDROmorphone (Dilaudid),hydromorphone,hydrocodone,hydrocodone,"['hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone']",1.0,hydrocodone is not present in the,hydrocodone is not present in the,"['hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the']",1.0,hydrocodone,hydrocodone,"['hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone']",1.0,hydrocodone -> hydrocodone,hydrocodone -> hydrocodone,"['hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone']",1.0,hydrocodone is not present in the,"['hydrocodone is not present in the', 'hydrocodone is incorrect. the correct', 'hydrocodone is incorrect, the correct', 'hydrocodone is not present in the', 'hydrocodone is incorrect. the correct']",0.4,unsure
Ciprofloxacin HCl,ciprofloxacin,ciprofloxacin,ciprofloxacin,"['ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin']",1.0,ciprofloxacin,ciprofloxacin,"['ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin']",1.0,ciprofloxacin,ciprofloxacin,"['ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin']",1.0,ciprofloxacin,ciprofloxacin,"['ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin']",1.0,ciprofloxacin,ciprofloxacin,"['ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin']",1.0
5% Dextrose,glucose 50 mg/ml,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
TraZODone,trazodone,trazodone,trazodone,"['trazodone', 'trazodone', 'trazodone', 'trazodone', 'trazodone']",1.0,trazodone,trazodone,"['trazodone', 'trazodone', 'trazodone', 'trazodone', 'trazodone']",1.0,trazodone,trazodone,"['trazodone', 'trazodone', 'trazodone', 'trazodone', 'trazodone']",1.0,trazodone,trazodone,"['trazodone', 'trazodone', 'trazodone', 'trazodone', 'trazodone']",1.0,trazodone,trazodone,"['trazodone', 'trazodone', 'trazodone', 'trazodone', 'trazodone']",1.0
DiphenhydrAMINE,diphenhydramine,diphenhydramine,diphenhydramine,"['diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine']",1.0,diphenhydramine,diphenhydramine,"['diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine']",1.0,diphenhydramine,diphenhydramine,"['diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine']",1.0,diphenhydramine,diphenhydramine,"['diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine']",1.0,diphenhydramine,diphenhydramine,"['diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine']",1.0
DiphenhydrAMINE,diphenhydramine,diphenhydramine,diphenhydramine,"['diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine']",1.0,diphenhydramine,diphenhydramine,"['diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine']",1.0,diphenhydramine,diphenhydramine,"['diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine']",1.0,diphenhydramine,diphenhydramine,"['diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine']",1.0,diphenhydramine,diphenhydramine,"['diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine', 'diphenhydramine']",1.0
Furosemide,furosemide,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0
Ondansetron,ondansetron,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0
1/2 NS,sodium chloride 4.5 mg/ml,1/2 normal saline,1/2 normal saline,"['1/2 normal saline', '1/2 normal saline', '1/2 normal saline', '1/2 normal saline', '1/2 normal saline']",1.0,normal saline,normal saline,"['normal saline', 'normal saline', 'normal saline', 'normal saline', 'normal saline']",1.0,half normal saline,half normal saline,"['half normal saline', 'half normal saline -> normal saline -> saline', 'half normal saline', 'half normal saline', 'half normal saline']",0.8,normal saline,normal saline,"['normal saline', 'normal saline', 'normal saline', 'normal saline', 'normal saline']",1.0,normal saline,normal saline,"['normal saline', 'normal saline', 'normal saline', 'normal saline', 'normal saline']",1.0
Pneumococcal Vac Polyvalent,pneumococcal vaccine polyvalent,pneumococcal polysaccharide,pneumococcal polysaccharide,"['pneumococcal polysaccharide', 'pneumococcal polysaccharide', 'pneumococcal polysaccharide', 'pneumococcal polysaccharide', 'pneumococcal polysaccharide']",1.0,pneumococcal polysaccharide,pneumococcal polysaccharide,"['pneumococcal polysaccharide', 'pneumococcal polysaccharide', 'pneumococcal polysaccharide', 'pneumococcal polysaccharide', 'pneumococcal polysaccharide']",1.0,pneumococcal polysaccharide,pneumococcal polysaccharide,"['pneumococcal polysaccharide', 'pneumococcal polysaccharide', 'pneumococcal polysaccharide', 'pneumococcal polysaccharide', 'pneumococcal polysaccharide']",1.0,pneumococcal polysaccharide,pneumococcal polysaccharide,"['pneumococcal vaccine polyvalent', 'pneumococcal polysaccharide', 'pneumococcal polysaccharide', 'pneumococcal vaccine polyvalent', 'pneumococcal polysaccharide']",0.6,pneumococcal vaccine polyvalent,pneumococcal vaccine polyvalent,"['pneumococcal vaccine polyvalent', 'pneumococcal vaccine polyvalent', 'pneumococcal vaccine polyvalent', 'pneumococcal vaccine polyvalent', 'pneumococcal vaccine polyvalent']",1.0
Metoprolol Tartrate,metoprolol tartrate,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol tartrate,metoprolol tartrate,"['metoprolol tartrate', 'metoprolol tartrate', 'metoprolol', 'metoprolol tartrate', 'metoprolol tartrate']",0.8,metoprolol tartrate,metoprolol tartrate,"['metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate', 'metoprolol tartrate']",1.0,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0
Simvastatin,simvastatin,simvastatin,simvastatin,"['simvastatin', 'simvastatin', 'simvastatin', 'simvastatin', 'simvastatin']",1.0,simvastatin,simvastatin,"['simvastatin', 'simvastatin', 'simvastatin', 'simvastatin', 'simvastatin']",1.0,simvastatin,simvastatin,"['simvastatin', 'simvastatin', 'simvastatin', 'simvastatin', 'simvastatin']",1.0,simvastatin,simvastatin,"['simvastatin', 'simvastatin', 'simvastatin', 'simvastatin', 'simvastatin']",1.0,simvastatin,simvastatin,"['simvastatin', 'simvastatin', 'simvastatin', 'simvastatin', 'simvastatin']",1.0
Lorazepam,lorazepam,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0
Omeprazole,omeprazole,omeprazole,omeprazole,"['omeprazole', 'omeprazole', 'omeprazole', 'omeprazole', 'omeprazole']",1.0,omeprazole,omeprazole,"['omeprazole', 'omeprazole', 'omeprazole', 'omeprazole', 'omeprazole']",1.0,omeprazole,omeprazole,"['omeprazole', 'omeprazole', 'omeprazole', 'omeprazole', 'omeprazole']",1.0,omeprazole,omeprazole,"['omeprazole', 'omeprazole', 'omeprazole', 'omeprazole', 'omeprazole']",1.0,omeprazole,omeprazole,"['omeprazole', 'omeprazole', 'omeprazole', 'omeprazole', 'omeprazole']",1.0
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
Warfarin,warfarin,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0
